company_name	industry	city
AutoWorks 196	AI & Robotics	Göteborg
None	Finance	Jönköping
!!Error!!	Technology	
N/A	Finance	Uppsala
RoboTech 200	Medical Devices	Örebro
12345	Medical Devices	Malmö
MediCare 202	Food & Beverage	Norrköping
TechNova 203	Finance	Uppsala
RoboTech 204	Medical Devices	Uppsala
MediCare 205	Automotive	###
RoboTech 206	Renewable Energy	Jönköping
EduVision 207	Automotive	Stockholm
BuildPro 208	Education	Västerås
GreenFuture 209	AI & Robotics	Norrköping
Foodies 210	Automotive	!!Error!!
MediCare 211	Healthcare	Linköping
Foodies 212	Healthcare	Uppsala
RoboTech 213	Finance	Norrköping
	Automotive	Uppsala
	Education	Malmö
GreenFuture 216	Finance	Göteborg
FinTrust 217	Renewable Energy	Linköping
12345	AI & Robotics	Uppsala
HealthSync 219	Technology	Jönköping
HealthSync 220	Finance	Stockholm
GreenFuture 221	AI & Robotics	Uppsala
AutoWorks 222	Medical Devices	Stockholm
RoboTech 223	Construction	Malmö
Foodies 224	Construction	Göteborg
12345	Renewable Energy	Örebro
FinTrust 226	Medical Devices	Unknown
MediCare 227	Medical Devices	Uppsala
HealthSync 228	AI & Robotics	Helsingborg
GreenFuture 229	Automotive	!!Error!!
MediCare 230	Finance	Helsingborg
EduVision 231	Education	Malmö
HealthSync 232	Renewable Energy	Malmö
GreenFuture 233	Construction	Stockholm
N/A	Renewable Energy	Linköping
GreenFuture 235	Medical Devices	Göteborg
GreenFuture 236	Medical Devices	Malmö
EduVision 237	Construction	Örebro
FakeCity	Finance	Örebro
MediCare 239	Renewable Energy	Stockholm
BuildPro 240	Healthcare	Jönköping
TechNova 241	Renewable Energy	Västerås
RoboTech 242	Renewable Energy	Örebro
EduVision 243	AI & Robotics	Jönköping
AutoWorks 244	Healthcare	Norrköping
MediCare 245	Automotive	Malmö
GreenFuture 246	Healthcare	Västerås
EduVision 247	Technology	Jönköping
NULL	Healthcare	12345
BuildPro 249	Healthcare	Stockholm
TechNova 250	Construction	Uppsala
12345	Construction	Linköping
AutoWorks 252	Renewable Energy	Göteborg
FinTrust 253	Construction	Linköping
MediCare 254	Medical Devices	FakeCity
HealthSync 255	AI & Robotics	Jönköping
MediCare 256	Finance	Uppsala
GreenFuture 257	Technology	Stockholm
MediCare 258	Automotive	Jönköping
HealthSync 259	Construction	Västerås
EduVision 260	Construction	Helsingborg
FinTrust 261	Medical Devices	Göteborg
FakeCity	Education	Unknown
MediCare 263	Healthcare	Västerås
AutoWorks 264	Renewable Energy	Stockholm
!!Error!!	Food & Beverage	Stockholm
MediCare 266	Education	Göteborg
MediCare 267	Renewable Energy	Norrköping
HealthSync 268	Finance	Jönköping
EduVision 269	Education	12345
	Technology	Helsingborg
TechNova 271	Healthcare	Uppsala
BuildPro 272	Automotive	Örebro
Foodies 273	Education	Helsingborg
BuildPro 274	Food & Beverage	Linköping
HealthSync 275	Technology	Västerås
GreenFuture 276	Renewable Energy	Norrköping
FakeCity	Education	Malmö
EduVision 278	Finance	Jönköping
###	Finance	None
MediCare 280	Construction	12345
FinTrust 281	Finance	Örebro
Foodies 282	AI & Robotics	
TechNova 283	AI & Robotics	Jönköping
BuildPro 284	Renewable Energy	Helsingborg
RoboTech 285	Construction	Uppsala
TechNova 286	Finance	Helsingborg
RoboTech 287	Construction	Malmö
AutoWorks 288	Healthcare	Norrköping
BuildPro 289	Construction	Helsingborg
HealthSync 290	Construction	Jönköping
MediCare 291	Renewable Energy	Västerås
FinTrust 292	Medical Devices	Norrköping
TechNova 293	Automotive	Helsingborg
AutoWorks 294	Automotive	Malmö
GreenFuture 295	Technology	Malmö
Foodies 296	Construction	Jönköping
MediCare 297	Renewable Energy	Uppsala
!!Error!!	Construction	Jönköping
RoboTech 299	Finance	Göteborg
None	Healthcare	Malmö
MediCare 301	Education	Linköping
HealthSync 302	Technology	Uppsala
HealthSync 303	Construction	Västerås
RoboTech 304	Finance	Uppsala
Foodies 305	Food & Beverage	Helsingborg
FakeCity	FakeCity	Göteborg
AutoWorks 307	Construction	Helsingborg
HealthSync 308	Automotive	Malmö
EduVision 309	Technology	Jönköping
RoboTech 310	###	Örebro
FinTrust 311	AI & Robotics	Linköping
HealthSync 312	Education	Uppsala
NULL	Technology	Västerås
HealthSync 314	Finance	Norrköping
GreenFuture 315	Finance	Örebro
TechNova 316	AI & Robotics	Örebro
GreenFuture 317	AI & Robotics	Linköping
AutoWorks 318	Technology	Norrköping
Foodies 319	Technology	Västerås
GreenFuture 320	Healthcare	Norrköping
MediCare 321	Healthcare	Malmö
BuildPro 322	Healthcare	Unknown
FinTrust 323	AI & Robotics	!!Error!!
FinTrust 324	AI & Robotics	Göteborg
BuildPro 325	Finance	###
MediCare 326	AI & Robotics	None
BuildPro 327	###	None
TechNova 328	Renewable Energy	Norrköping
AutoWorks 329	Medical Devices	Stockholm
Unknown	Healthcare	Malmö
RoboTech 331	Finance	Norrköping
AutoWorks 332	Food & Beverage	Norrköping
NULL	Construction	Malmö
	Medical Devices	Helsingborg
BuildPro 335	Automotive	Göteborg
EduVision 336	Automotive	Linköping
MediCare 337	Finance	Helsingborg
TechNova 338	Construction	Helsingborg
HealthSync 339	Finance	Norrköping
TechNova 340	Finance	Norrköping
FinTrust 341	Renewable Energy	Uppsala
FinTrust 342	Construction	Uppsala
Unknown	Technology	Malmö
MediCare 344	Medical Devices	Västerås
###	Education	Norrköping
Foodies 346	Technology	Linköping
EduVision 347	AI & Robotics	Uppsala
Foodies 348	Construction	N/A
EduVision 349	Technology	Linköping
BuildPro 350	12345	!!Error!!
EduVision 351	FakeCity	Malmö
RoboTech 352	Renewable Energy	Stockholm
RoboTech 353	Medical Devices	12345
GreenFuture 354	Construction	Linköping
EduVision 355	Food & Beverage	Västerås
HealthSync 356	Finance	Uppsala
EduVision 357	Technology	Uppsala
GreenFuture 358	None	Malmö
BuildPro 359	Healthcare	None
GreenFuture 360	Education	Jönköping
BuildPro 361	Food & Beverage	Stockholm
EduVision 362	Medical Devices	Helsingborg
RoboTech 363	Automotive	Malmö
HealthSync 364	Technology	Helsingborg
TechNova 365	Automotive	Malmö
EduVision 366	AI & Robotics	Göteborg
NULL	Renewable Energy	Malmö
FinTrust 368	Healthcare	Norrköping
AutoWorks 369	Education	Örebro
GreenFuture 370	Construction	Helsingborg
FinTrust 371	Medical Devices	12345
EduVision 372	None	Norrköping
GreenFuture 373	Technology	Uppsala
TechNova 374	Automotive	Stockholm
N/A	Education	Göteborg
GreenFuture 376	Finance	Stockholm
BuildPro 377	Education	Örebro
EduVision 378	Education	!!Error!!
###	Finance	Norrköping
FinTrust 380	Finance	###
BuildPro 381	Automotive	FakeCity
EduVision 382	Food & Beverage	Västerås
AutoWorks 383	Medical Devices	Stockholm
FinTrust 384	Education	Helsingborg
AutoWorks 385	Education	Norrköping
TechNova 386	Renewable Energy	Uppsala
GreenFuture 387	Education	12345
FinTrust 388	Automotive	Helsingborg
EduVision 389	Renewable Energy	Linköping
Foodies 390	Food & Beverage	Västerås
MediCare 391	Automotive	Västerås
Foodies 392	Construction	
EduVision 393	Technology	Malmö
TechNova 394	Healthcare	Linköping
EduVision 395	Renewable Energy	Västerås
AutoWorks 396	FakeCity	Västerås
RoboTech 397	Medical Devices	Uppsala
FinTrust 398	Automotive	Göteborg
EduVision 399	Education	Örebro
Foodies 400	Healthcare	Linköping
MediCare 401	None	Linköping
TechNova 402	Education	Linköping
FinTrust 403	Food & Beverage	Stockholm
BuildPro 404	Medical Devices	!!Error!!
EduVision 405	Technology	Stockholm
RoboTech 406	Automotive	Jönköping
GreenFuture 407	Construction	Helsingborg
Foodies 408	Automotive	Unknown
HealthSync 409	Education	Norrköping
HealthSync 410	Technology	Helsingborg
MediCare 411	Finance	Uppsala
FinTrust 412	Construction	Malmö
TechNova 413	N/A	Uppsala
HealthSync 414	Healthcare	Helsingborg
EduVision 415	Healthcare	Göteborg
BuildPro 416	Finance	NULL
MediCare 417	Technology	Uppsala
FakeCity	Unknown	Uppsala
GreenFuture 419	Technology	Jönköping
TechNova 420	Technology	Göteborg
RoboTech 421	Renewable Energy	None
BuildPro 422	Finance	Norrköping
FakeCity	Food & Beverage	Göteborg
HealthSync 424	Construction	Jönköping
MediCare 425	Food & Beverage	Malmö
TechNova 426	Medical Devices	Linköping
FakeCity	Technology	Stockholm
HealthSync 428	Automotive	Jönköping
BuildPro 429	Automotive	Örebro
HealthSync 430	Food & Beverage	Linköping
Foodies 431	Automotive	Malmö
TechNova 432	Education	Linköping
MediCare 433	Technology	Helsingborg
GreenFuture 434	Technology	Malmö
Foodies 435	Technology	Unknown
TechNova 436	Education	Stockholm
AutoWorks 437	AI & Robotics	Helsingborg
AutoWorks 438	AI & Robotics	Jönköping
AutoWorks 439	Food & Beverage	Göteborg
RoboTech 440	Education	Uppsala
BuildPro 441	Medical Devices	None
TechNova 442	Renewable Energy	Jönköping
	Construction	Göteborg
FinTrust 444	AI & Robotics	Malmö
TechNova 445	Food & Beverage	Unknown
EduVision 446	Education	Helsingborg
HealthSync 447	Food & Beverage	Malmö
TechNova 448	Medical Devices	Göteborg
FinTrust 449	Technology	Jönköping
HealthSync 450	Food & Beverage	Malmö
BuildPro 451	Finance	###
MediCare 452	AI & Robotics	Malmö
BuildPro 453	Finance	Malmö
Foodies 454	Technology	Uppsala
FinTrust 455	Healthcare	Uppsala
EduVision 456	Automotive	Norrköping
EduVision 457	Automotive	Jönköping
GreenFuture 458	Healthcare	Helsingborg
RoboTech 459	Education	Linköping
AutoWorks 460	Automotive	Göteborg
BuildPro 461	AI & Robotics	Helsingborg
HealthSync 462	!!Error!!	Stockholm
RoboTech 463	Education	Uppsala
GreenFuture 464	Food & Beverage	Jönköping
RoboTech 465	Food & Beverage	NULL
Foodies 466	Automotive	
RoboTech 467	Construction	Stockholm
GreenFuture 468	AI & Robotics	Helsingborg
EduVision 469	Finance	Stockholm
!!Error!!	Education	Stockholm
MediCare 471	Construction	Malmö
MediCare 472	AI & Robotics	Uppsala
AutoWorks 473	Healthcare	Västerås
BuildPro 474	Finance	Stockholm
HealthSync 475	Automotive	Linköping
BuildPro 476	Education	Malmö
RoboTech 477	Healthcare	Stockholm
FinTrust 478	Education	Stockholm
BuildPro 479	Construction	Göteborg
GreenFuture 480	Education	Malmö
BuildPro 481	Medical Devices	Norrköping
	Construction	Helsingborg
FinTrust 483	Technology	Stockholm
EduVision 484	Construction	Linköping
RoboTech 485	Renewable Energy	Göteborg
MediCare 486	Construction	Helsingborg
NULL	AI & Robotics	Norrköping
Foodies 488	Healthcare	Helsingborg
EduVision 489	Food & Beverage	Stockholm
MediCare 490	Finance	N/A
###	Medical Devices	Stockholm
GreenFuture 492	AI & Robotics	Göteborg
EduVision 493	Education	NULL
BuildPro 494	Finance	Malmö
FakeCity	Food & Beverage	Stockholm
Unknown	!!Error!!	Linköping
Foodies 497	Renewable Energy	NULL
TechNova 498	Education	Örebro
MediCare 499	Automotive	12345
FinTrust 500	Food & Beverage	Göteborg
EduVision 501	Healthcare	Stockholm
GreenFuture 502	AI & Robotics	Helsingborg
EduVision 503	AI & Robotics	Norrköping
BuildPro 504	Medical Devices	Göteborg
MediCare 505	Technology	Helsingborg
FinTrust 506	AI & Robotics	Malmö
AutoWorks 507	Education	Linköping
EduVision 508	Renewable Energy	Örebro
NULL	N/A	Örebro
AutoWorks 510	Automotive	
MediCare 511	Renewable Energy	Linköping
TechNova 512	AI & Robotics	
!!Error!!		Norrköping
MediCare 514	Food & Beverage	Örebro
FakeCity	Finance	Malmö
MediCare 516	Medical Devices	Göteborg
HealthSync 517	Finance	FakeCity
GreenFuture 518	Renewable Energy	Göteborg
12345	Medical Devices	Örebro
GreenFuture 520	Automotive	Helsingborg
GreenFuture 521	Renewable Energy	Jönköping
BuildPro 522	Healthcare	Unknown
MediCare 523	Education	!!Error!!
BuildPro 524	Renewable Energy	None
EduVision 525	Healthcare	Malmö
HealthSync 526	Construction	Malmö
RoboTech 527	Renewable Energy	Malmö
FinTrust 528	Renewable Energy	Västerås
Foodies 529	Food & Beverage	Linköping
BuildPro 530	Construction	Norrköping
MediCare 531	Education	Unknown
None	Renewable Energy	Jönköping
RoboTech 533	Construction	FakeCity
AutoWorks 534	Automotive	Jönköping
FinTrust 535	Healthcare	Jönköping
RoboTech 536	Healthcare	Göteborg
BuildPro 537	Healthcare	Jönköping
TechNova 538	AI & Robotics	Malmö
MediCare 539	Education	Linköping
EduVision 540	Technology	Malmö
FakeCity	AI & Robotics	NULL
MediCare 542	Medical Devices	Malmö
FinTrust 543	Medical Devices	Linköping
RoboTech 544	Technology	Jönköping
MediCare 545	Construction	Stockholm
FinTrust 546	Renewable Energy	Helsingborg
BuildPro 547	###	Jönköping
MediCare 548	Education	
FinTrust 549	Technology	Västerås
FinTrust 550	Food & Beverage	Jönköping
EduVision 551	AI & Robotics	Malmö
MediCare 552	Medical Devices	Linköping
BuildPro 553	Construction	Jönköping
GreenFuture 554	Education	Örebro
TechNova 555	Automotive	Helsingborg
BuildPro 556	Medical Devices	Jönköping
NULL	Education	Uppsala
RoboTech 558	Food & Beverage	Västerås
MediCare 559	Technology	!!Error!!
	Finance	Helsingborg
FinTrust 561	Education	Västerås
EduVision 562	Technology	Malmö
HealthSync 563	N/A	Unknown
HealthSync 564	Renewable Energy	Jönköping
GreenFuture 565	Finance	Malmö
TechNova 566	AI & Robotics	Göteborg
HealthSync 567	AI & Robotics	Norrköping
MediCare 568	Education	Göteborg
AutoWorks 569	Renewable Energy	None
BuildPro 570	Education	None
TechNova 571	Automotive	Helsingborg
FinTrust 572	Education	Göteborg
MediCare 573	Renewable Energy	Västerås
EduVision 574	Construction	Uppsala
N/A	Technology	Västerås
HealthSync 576	Healthcare	Malmö
HealthSync 577	Food & Beverage	Uppsala
Foodies 578	Healthcare	Helsingborg
BuildPro 579	Technology	Stockholm
Foodies 580	Medical Devices	Örebro
MediCare 581	Renewable Energy	Linköping
BuildPro 582	Construction	Stockholm
MediCare 583	Medical Devices	Uppsala
EduVision 584	Food & Beverage	Örebro
FinTrust 585	12345	Norrköping
EduVision 586	Automotive	Örebro
NULL	Medical Devices	Stockholm
RoboTech 588	Medical Devices	Norrköping
HealthSync 589	Education	Norrköping
AutoWorks 590	Food & Beverage	Stockholm
Foodies 591	Technology	Malmö
EduVision 592	Food & Beverage	Örebro
TechNova 593	Education	Stockholm
Foodies 594	Construction	Malmö
TechNova 595	Renewable Energy	Göteborg
Foodies 596	Technology	Linköping
HealthSync 597	Healthcare	Uppsala
FinTrust 598	Technology	Helsingborg
RoboTech 599	Unknown	Göteborg
Foodies 600	Finance	Örebro
HealthSync 601	Food & Beverage	12345
HealthSync 602	Food & Beverage	Jönköping
MediCare 603	Medical Devices	Göteborg
Foodies 604	Food & Beverage	Göteborg
EduVision 605	12345	Stockholm
BuildPro 606	12345	Göteborg
RoboTech 607	Food & Beverage	Västerås
None	Automotive	Västerås
RoboTech 609	Healthcare	Jönköping
BuildPro 610	Construction	Göteborg
HealthSync 611	Finance	Västerås
GreenFuture 612	Renewable Energy	Linköping
HealthSync 613	Renewable Energy	Malmö
Foodies 614	Technology	Linköping
Foodies 615	Education	Uppsala
AutoWorks 616	Construction	Örebro
EduVision 617	Renewable Energy	Helsingborg
12345	Renewable Energy	Jönköping
EduVision 619	Food & Beverage	###
TechNova 620	Automotive	Stockholm
AutoWorks 621	Renewable Energy	Uppsala
FinTrust 622	Education	Örebro
FinTrust 623	Healthcare	Örebro
GreenFuture 624	Automotive	
AutoWorks 625	Technology	Malmö
TechNova 626	Finance	Stockholm
RoboTech 627	Education	Örebro
RoboTech 628	AI & Robotics	Uppsala
GreenFuture 629	Renewable Energy	Örebro
FinTrust 630	Technology	Linköping
MediCare 631	Medical Devices	Stockholm
HealthSync 632	Medical Devices	Linköping
	Food & Beverage	Uppsala
EduVision 634	Finance	!!Error!!
RoboTech 635	Construction	Västerås
AutoWorks 636	Renewable Energy	N/A
GreenFuture 637	Healthcare	Örebro
BuildPro 638	Automotive	NULL
RoboTech 639	Medical Devices	Stockholm
RoboTech 640	Education	Helsingborg
Foodies 641	AI & Robotics	Uppsala
RoboTech 642	Construction	Malmö
MediCare 643	12345	Uppsala
AutoWorks 644	Healthcare	Västerås
GreenFuture 645	Automotive	Jönköping
MediCare 646	Education	Örebro
GreenFuture 647	Healthcare	Göteborg
AutoWorks 648	Automotive	Västerås
GreenFuture 649	Construction	Helsingborg
FinTrust 650	Automotive	Uppsala
GreenFuture 651	Food & Beverage	Uppsala
FinTrust 652	12345	Helsingborg
AutoWorks 653	Education	Linköping
FinTrust 654	Education	Helsingborg
Foodies 655	Technology	Göteborg
FinTrust 656	NULL	Göteborg
Foodies 657	Finance	Jönköping
MediCare 658	Education	Göteborg
TechNova 659	Food & Beverage	12345
EduVision 660	Education	Linköping
Foodies 661	Automotive	Linköping
HealthSync 662	Construction	Örebro
BuildPro 663	Unknown	Norrköping
Foodies 664	Finance	Jönköping
FinTrust 665	Automotive	Uppsala
MediCare 666	Construction	Uppsala
GreenFuture 667	Education	Uppsala
GreenFuture 668	AI & Robotics	Malmö
HealthSync 669	Technology	Västerås
GreenFuture 670	Education	Göteborg
GreenFuture 671	!!Error!!	Örebro
EduVision 672	Medical Devices	Stockholm
MediCare 673	Automotive	Norrköping
AutoWorks 674	Technology	Malmö
EduVision 675	Education	Jönköping
FakeCity	Renewable Energy	Helsingborg
MediCare 677	12345	Göteborg
TechNova 678	Construction	Västerås
AutoWorks 679	Education	Malmö
HealthSync 680	Construction	Jönköping
AutoWorks 681	AI & Robotics	None
NULL	Renewable Energy	Göteborg
EduVision 683	Technology	Västerås
GreenFuture 684	Education	Jönköping
GreenFuture 685	Food & Beverage	Örebro
GreenFuture 686	Technology	Norrköping
EduVision 687	Education	Linköping
AutoWorks 688	Renewable Energy	Helsingborg
AutoWorks 689	Medical Devices	Stockholm
GreenFuture 690	Medical Devices	Västerås
	Healthcare	Helsingborg
MediCare 692	Automotive	Örebro
BuildPro 693	Construction	Helsingborg
MediCare 694	Finance	Helsingborg
RoboTech 695	Renewable Energy	Stockholm
HealthSync 696	AI & Robotics	Helsingborg
EduVision 697	Construction	Örebro
TechNova 698	Finance	Västerås
HealthSync 699	Healthcare	!!Error!!
RoboTech 700	Medical Devices	Göteborg
TechNova 701	Food & Beverage	Stockholm
EduVision 702	Technology	Unknown
FinTrust 703	Finance	Malmö
Foodies 704	Medical Devices	Linköping
FinTrust 705	Healthcare	Örebro
TechNova 706	Technology	Uppsala
MediCare 707	Automotive	FakeCity
Foodies 708	Medical Devices	Norrköping
HealthSync 709	Healthcare	Örebro
GreenFuture 710	Food & Beverage	FakeCity
TechNova 711	Medical Devices	Stockholm
TechNova 712	AI & Robotics	Malmö
GreenFuture 713	12345	Malmö
Unknown	Education	Jönköping
MediCare 715	Finance	Göteborg
AutoWorks 716	Education	Norrköping
FinTrust 717	Healthcare	Uppsala
GreenFuture 718	Education	Linköping
BuildPro 719	Renewable Energy	Uppsala
MediCare 720	Finance	Uppsala
AutoWorks 721	Construction	Göteborg
TechNova 722	Renewable Energy	Linköping
Foodies 723	Renewable Energy	Norrköping
MediCare 724	Technology	Jönköping
RoboTech 725	Automotive	Örebro
EduVision 726	AI & Robotics	Örebro
TechNova 727	Construction	Göteborg
RoboTech 728	Renewable Energy	Västerås
Foodies 729	AI & Robotics	Norrköping
MediCare 730	AI & Robotics	Göteborg
RoboTech 731	Automotive	Malmö
None	Medical Devices	Malmö
BuildPro 733	Finance	Malmö
FinTrust 734	Healthcare	Örebro
###	Healthcare	###
TechNova 736	Healthcare	Stockholm
HealthSync 737	Finance	Örebro
TechNova 738	!!Error!!	Örebro
GreenFuture 739	Technology	Stockholm
AutoWorks 740	None	Göteborg
GreenFuture 741	Finance	Stockholm
NULL	Renewable Energy	Helsingborg
GreenFuture 743	Healthcare	Stockholm
EduVision 744	AI & Robotics	Västerås
TechNova 745	Construction	###
TechNova 746	Construction	Uppsala
BuildPro 747	Education	Örebro
FinTrust 748	Technology	None
TechNova 749	Finance	###
MediCare 750	Healthcare	Västerås
TechNova 751	Healthcare	None
MediCare 752	Finance	Göteborg
EduVision 753	Renewable Energy	Helsingborg
AutoWorks 754	Automotive	Västerås
TechNova 755	Food & Beverage	Norrköping
AutoWorks 756	Education	Uppsala
FinTrust 757	Food & Beverage	Helsingborg
FinTrust 758	Construction	Örebro
HealthSync 759	Technology	Västerås
BuildPro 760	Education	Norrköping
MediCare 761	Education	N/A
FinTrust 762	Finance	12345
TechNova 763	Technology	Norrköping
