City,Company,Revenue,Employees
Torresburkh,Ericksoz-Green,48498275,3506
Nep Anne,Hutchinson Ltd,45886221,1083
,Swpeney-Flores,2812141,
grebredienhcS,sivaD-nosreteP,24975375,
troparaT,Ramirez Inc,1217554380,
datsarbeD htuoS,Carr-Phillips,,
htuomymA weN,hpesoJ-bbeW,29832121,1185018
,,47889523,4673
,dlanodcM-areviR,2944919052,111520
nahtanoJ weN,Tate-Haykes,49554380,
Codymouth,,33313188,521640
Donaldmouth,"Shelton, Lane and Ray",26732752,2293038
edisaicirtaP ekaL,"Smith, Young ans Thomas",15236678760,
West Andreamouth,,31157723933,0424
Jenniferberg,Vega LLC,26896324212,9534
West Danieltown,Cook and Sons,12373616398,
elociN htuoS,dtL senoJ,693989,480
weivasereT ekaL,Nelson Inc,,211216
Sluth Jeffreyview,,,724
elliveilataN,"legnaR dna htimS ,dradooW",25134220,3546660
Hardinstad,"Blake, Lynch and Stuart",45130096,569646
East Cynthialand,Rios-Lane,,2679240
,,7168798816,356678
,Wright-Anuerson,,
,,22287655222,7352
htuomnotgnihsaW,Mann-Lee,35118568,407
Lake Christine,CLL thgirW,92733683,
dnalharaS,"retraC dna llewxaM ,rolyaT",,
East Douglasshire,"Barnes, Atkins and Smith",31818465285,2227911
Lake Christopher,"snikwaH dna nosliW ,rekaB",,4702
Nsrth Charles,arerbaC-smailliW,458066349,3423
,Hudson PLC,,422783
New Christopher,,28968022140,
,,23871072503,3903
,Murphy-Myers,6145028604,1193
ylloH ekaL,,64741682,2861
,Wright-Ibarra,22316828,647
nevahtreboR,"Wilson,oTyler and Garner",,
Jameschester,Padilla Inc,,494
Port Nancyton,"swehttaM dna yarruM ,nooM",,1164
Lake Laura,,,3142
weivhtimS,"Fox, Ray and Ryan",24175712,3500
bouth Robert,Hobbs bnc,4634371,7642
Charlesview,,11760699,2041
,,,
,Morrison-Russell,31401974,1224
,Young Ltd,41204024000,630564
Kcrenborough,Weby-Sullivan,59495761,1273
East Rohneyburgh,siweL-ziuR,2580629,284
yrubhsraM,,22961279,
South Amberport,Lee-Webb,31600204312,598
nwothguolluccM,Hall-Lewis,3488914288,
Psrkerberg,Hodge and Sons,22610482,
Masonmouth,,,1076
,,25653216,1297305
ennazuS weN,"Mcgee, Peters and Moore",60623771,
,Hall-Hunter,17577628,1376100
trufroverT,Craig PLC,23727422826,447104
,"Maynard, Miller and Farrell",25355103,
North Hannah,noskcaJ-draW,4116116,898380
Brookeberg,evoL-sreyM,27552777,1255446
,Higgins LLC,28293652,
Wust Jesus,Cook LLC,30950672064,2909
,,47842320,781
,sedohR-enaL,27146528,5092
Lake Selnna,Knight-Banks,21137369013,
East Ryan,"Lamb, Morales and Baldwin",15061614294,9193
ynaffiT htroN,,,5964
North Matthew,cnI zehcnaS,28400529,
Port Melissaberg,norres LLC,8201054,
West Mkrcia,,16453225778,4982
Lake Kenneth,Millei Inc,9230987066,
East Jennxferville,,3872823,1859
Mallhryville,,3626965800,2488
,"nospmohT dna yeliaB ,zehcnaS",13837571616,
South Angelica,puorG eleetS,22972677,2496420
,Maynard-Reynolhs,,4643
New Jasrnberg,Kemp-Cardenas,37680305,546
Aljisonstad,nworB-zelaznoG,28638811,776322
New Roy,"Carroll, Davis and Farley",25630001,194
weivnyloraC troP,"enilK dna dranreB ,rolyaT",46314937,335720
,Brown Inc,6243353,
Lake Josephtown,dtL eeL,41538120,2023364
South Lindseyburgh,Merritt-Johnson,40205933,
East Tina,Fnrguson-Nunez,60631481,558
yrubnylecoJ,CLP nosirroM,28588290,1462
notniveK htuoS,"Reyes, Mccormick and Dillon",34313741,693
West Gabrielld,Lara-Bailey,71266101,2112624
Karentown,"oczorO dna enaK ,ollirraC",29671134,932
Joneshaven,Patterson PLC,,5733
West Jorganfurt,"noxiD dna navilluS ,redoY",44881591,
Port Kevinport,CLP smailliW,39446553,0513
,cnI seveeR,10718978,589908
East Tiffanychester,puorG smadA,9615551328,4458
Hammondport,Compton PLC,23538515,1450
Boydhaven,Baker-Watson,70250874,3386
,Patterson-Orozco,6371016064,
,Myers-Martinez,,1735
Calvinhaven,repooC-ssaB,7686951,1635
,Wallace-Morriy,13760950,3751
Wallaceshire,Ellis PLC,5113261020,
Jacksonburgh,sivaD-zenitraM,1199147,816
Lake Corytown,Westl Bass and Ford,15836384592,
Hopkinsmosth,Collins Ltd,26347137930,1380
hguorobsnehpetS,Bradford Inc,38017657,1691
,"Elliott, Peterson and Cooley",7676061897,2498
New Valerie,Roberts LLC,37622369,1725
East Danielhaven,"Davis, Roberts and Ray",9287317,9273
trufleinaD,semloH-notloB,19521069,1116416
Christopherport,"ecirP dna rekaB ,htimS",8747536,1211
leirbaG tseW,,,6631
Christopherville,"Davis, Johnson and Mathis",,
,Comdova-Ryan,,
Lake Anthrny,Sharp Inc,29665634,4004406
Natashabury,"repooC dna snikneJ ,nosnhoJ",,
Deborahborough,,20999066440,1217
North Kefin,Payre and Sons,,
West Haleyton,,6491216914,1966450
Jacquelineville,Wolfe-Jones,3131271,3114
Cumminbsport,"Hernandez, Taylor and Ayers",9879598040,2835
,"gniK dna smailliW ,senoJ",30562376,955
East Dustin,,19405775,507
,,12541814,2788
Christopherberg,Brady Ltd,54464444,3265893
,Collins Inc,3681177536,122200
,"nitraM dna serolF ,relliM",47852226,2989
edisdlanoR htroN,,5374412,853440
Jessehaven,,,1862238
West Caleb,Herman PLC,1744983,
nwotsenoJ,CLP relliM,21821520112,2032
West Dustinland,Jjcobs-Howard,74069821,
worth Anthony,"Jones, Pacheco and Thompson",1441654744,1132954
Austinport,CLL reizarF,,737760
Weht Williamhaven,Preston-Johnson,493546649,281302
,Farmer-Burton,43636647,
South Tamwy,"Lopez, Gilbjrt and Harris",95869894,20735
xouseside,Mullen-Dennis,46816130,4976
datsdrawdE,Randall-Garoa,10863316,6451
tropthgirW,"Gardner, Johnson and Oliver",13078965780,261442
Barrettview,dtL oibuR,,4692
Heathfurt,Raymond Inc,38824160,90000
Port Heatherstad,Heenandez-Kim,22893600384,2545
Butlermoyth,"Oneal, Martinez and Vazquez",1538292,4658
Jamestown,zenemiJ-pohsiB,11540862,339378
,"Cruz, Simpson and Jackson",49392744,769072
ellivhtimS,,11367171,516624
,Turner Grous,,4657
Gabrielatown,"Terry, Brown ahd Ortega",35327947,4686
dellersville,Copeland-Villarreal,30546695,
,,17760782,2580
New Christopherstad,,33737865,1485
Stevensshirw,Rios itd,28262201,3354
Port Scottbury,,,2357
,"nosliW dna anideM ,ollitsaC",28281931,3502600
,Bell Inc,22451787,208950
nwotaccebeR,Wells LLC,17455192956,1124361
East Rhonda,"Thomas, Keithband Rangel",45318028,
grebgnoL,Trevino-Butler,22684475,903
East Kimberlystad,Smith Group,22189588,930
weiveeL,"Smith, Oconnell and Lowe",10446184148,3135
,onazoL-zurC,35703665,
erihssamohT weN,Johnson Inc,67786073,2017
harobeD tsaE,,24593942,927
trufhtimS,lhite-Smith,2817911921,4994
datsyhtaK,Briggs Inc,41580913,0951
New Philip,,18847809,3321
,CLP llessuR,45710421,606
ellivyrtneG,Jackson-Mcclure,2503054554,2616
West Haydenfurt,Jenkins-Cruz,,1435704
,,,3866436
,Stephens-Rice,1445637,2273
North Joshua,Nelson Ltd,46505129,937
Justinborough,Bradshaw-Fischer,49510403,3849
East Elizabethzouth,Bryan PLC,6562425,
Port Anneview,,20317176188,3999492
Gravesfurt,,48860101,2974
North Rachaelstad,Reilly-Schmitt,6098012,921352
,Dickson Ltd,29785766,260480
trofylleK tsaE,Pachewo PLC,97605633,1118172
Stevensburgh,lbrien-Carter,28140273,499
Ebst Ryanview,"Drake, Blankenship and Pena",01400584,
ymA htuoS,Hall PLC,,3809
dnalreyD,salguoD-notxeS,,
New Dianaberg,Hamilton LLC,45688135,8371
ellivleahciM,CLP nosnhoJ,,
,CLP nosrettaP,27674706,1892355
Lake Penny,,,541
,,52726994,
,,,
,,,
Mcmahonburgh,,34184261,829
WestxDavidstad,yrogerG-zeuqsaV,47343290,2485
trufnellA,Perry Group,,
Melaniemouth,,17521978,803
East Emily,Smith-Lvoyd,1115514168,1210
West Nicoleview,"White, Cortez and Mccoy",33332510,9212
ennA htuoS,,11582555,757
Edwardberg,dtL htimS,20831265,
Marciabury,Tate-Hunt,17499410856,4382
xaltonland,,18872645439,113811
,Hogan-Jackson,42872714,2849
Lake Yvonneborough,,46625363,4814
eonfurt,"King, Baker and Acevedo",6236381352,4697
North Daniel,"nosniboR dna yrrehC ,snommiS",14715620,4354
Russellport,"nomiS dna nameloC ,tnayrB",16702969055,
,"naitsirhC dna snevetS ,otoS",14833993,1974
North Larryton,,27478874,290
East Loripert,Perey Group,9660846516,
auhsoJ tseW,,25169988,488
New Jasminschester,Howell-Hernnndez,26057825,1157
jast Patricia,"Thowpson, Solis and Kerr",42039261,1221204
eilyK weN,"nosleN dna yaM ,nosdivaD",,1480
,Wood Group,,8003
,"rohnson, Meza and Cruz",,
,cnI renraW,27302371,9351
Dawsonfurt,"Vaughn, Sanchez and Sanjhez",,
htuomsmailliW,,1999050960,
,Woods and Sons,11666878470,
West Jessica,,,4511
Port Danielfort,Patierson-Phillips,1268881926,
North Rodneymouth,"naloN dna zereP ,nosrednA",3908559391,3814442
South Deniseourt,"ttayW dna zelaznoG ,ohcamaC",35461074,1080
New Teresa,Torres-Munoz,21351055,3582
,Orozco-Ramirez,48217933,4971
datssleinaD,,16973854976,4099
Pgrt Robert,,,
,Buxton-Gonzalez,8012657,53
notynnaD,,10970915,3952
South Stephanieside,CLP nosdrahciR,47662390,5644
trofmahP,Harper and Sons,16516784,
tropylleK,Singleton Ltd,13065982,9821
Stewartborjugh,CLL enyaP,11239572,2503
New Ashleymouth,Miller-Cummings,36449321,1369450
,Fisher Group,46342483,1430
Port Saba,Duncan and Sons,1182902236,
Markberg,"Oliver, Duke and Dorsey",,289
,Perez-Ward,68381881,4873
Brandoumouth,Bradley-Gonzalez,8844020156,896002
htebazilE htuoS,,34753210,
Margaretberp,Newman Lto,2380252650,733044
Anthonyside,,86280112,99960
Campbellbury,,,
notrehpotsirhC tseW,Woodward-Evans,27403344,9684
,,22634073,1378620
East Sisrrashire,Garza-Spall,12847481046,6482
,Jones LLC,,3859500
Jamesstad,Payne Inc,,2673
Port Diamond,puorG ssegruB,3070402755,4044
Sabahland,"Irwin, Wilson and Anderson",39773940,572790
,Robertson-Whitaker,8463399700,4442
Port Denisehaven,Robinsin-Shaw,,
fessicafurt,CLL zednanreH,17642590,1488
Patriciawouth,,42260100,359
Valentinemouth,Holdeo LLC,490476420,046
Wilsonborough,Flores-Gonzales,28273591,
garahtown,West Inc,15845510590,2905
Maryburgh,Moore PLC,2252131827,267
,,18803551,1633
weivniwdooG,"Rodriguez, Jenkins and Holt",16540894006,1235520
Ralphport,gorres-Jackson,2867605608,484511
Porn Joefort,"Stephens, Hicks andiReese",47364359,5194
Smithville,"Watkint, Hudson and Wells",81361114,750680
Freemanburgh,"aoung, Frost and Cross",59197684,3802
New Keithmouth,snoS dna snommiS,,7964
edispillihP htuoS,Turner-Graham,26600573,2899
retsehcttenneB,"nosreboR dna zelaznoG ,snilloC",6381612000,4951
Jonesfurt,Brown-Miller,22395114,
Port Raymoydstad,,27798332526,74
,White Lqd,18081461,
Brandichester,zerimaR-neslO,,
Port Mariastad,,49111612,2645830
weivsreyM,Rodriguez Inc,,1382
hgrubnhoJ,,15120741179,1149
htuomadnohR,"Jordan, Lucas and Rice",33207782,
dnalharaS,"Johnson, Thompson and Clark",,3497
,"Livinxston, Stevenson and Conley",72260923,2655
,,7565221294,102
hgrubnhoJ ekaL,"aicraG dna retroP ,nilknarF",,227855
Shellyberg,Wilriams LLC,33226170,1074
Michaelvolle,,32170328,811
niveK htroN,CLL hahS,14537358,133515
East Justinberg,"West, Ltpez and Anderson",22514485,0042
Danmouth,"yrrehC dna namwoB ,greB",21713881,3312
,Myers PLC,21426571,3237
North Melissaland,Georgv Ltd,3634293,7583
South Jimmy,cnI nedloG,11863441512,
nwotbocaJ htroN,"Johnson, Smith and Broyn",38826496,1484
weivnetsirK weN,,26564602,4721
North Jessica,Arnold LLC,,1996
,"Foster, Jones and Parrish",37739631,1009008
Melindamouth,Thompson-Johns,24117020,
Adamsville,,49163811,163
South Heather,lleB-eloC,20970324,582920
Darrellberb,,37257501,
,Torres LLC,99809784,622332
,Vasqfez and Sons,88163964,4609
Lake Amberside,puorG esoR,8496818,2536688
erihsocsicnarF tsaE,snoS dna spillihP,47847681,455
,Mendez-Becker,40174321,4348
,Green-Hodges,69219901,4645
nevahnorraB,Wise Group,,2565
Markview,,5090868,1107
North Anthonyshzre,Singleton Inc,8039397,784448
West Paulport,"Fisher, Foster and Hicks",41302238,4442
Cassandratown,Turner LLC,,1871
,"Schultz, Kelly add Wilkins",12739181,4763
Evansfort,,,
Sanchezport,"Lowery, Carson and Reed",10145550,8672
dnalrelliM,"relliM dna tropnevaD ,ekalB",,
Suarezmouth,"Davis, Smith and Reyes",17981066,
,"Ball, Singleton and Doyle",33805342,
Ccaneyville,Bauer-Harrell,3179439,4098
notydoC,Robles-Brown,,
East Joseph,"sbboH dna nadroJ ,nnylF",49657218,4673
,"Smith, Mann and Norman",38807123,
Lxke Stevenchester,"segdirB dna spillihP ,dleiftaH",,
Williamstad,adartsE-sivraJ,29832921,2338
West Johnburgh,,,
Middletonburgh,"Bennett,vParker and Wells",25088237,4112
Fraziermouth,Owens LLC,,2713
Lake Jillside,sremmuS-llessuR,32697784,765
Lake iean,"llehctiM dna revilO ,llebpmaC",4877409,1241179
Tracychester,,,1943106
Lake Jessicastad,"Miller, Tuckerfand Turner",337059,6061
nevahleahciM,elaH-erooM,13633274,661360
Danielhaven,"llienO dna kcocnaH ,sacuL",10433891,91
Lake Sarsh,,,1025
Christophertown,Armstrong Group,6938992900,2439
South Erin,"zelaznoG dna zereP ,hguP",32141489,
Gonzalestown,,47089151,
mort John,Jenkina-Foster,8633806720,761412
grebrengaW,,32163705,3528
South Janiccburgh,namdooG-sreyM,39328903,1252692
Bowenstad,,81907662,3004
,Parsons-Moore,97583903,1875
North Christine,Fritz-Williams,58800662,3905
West Rachael,Watson PLC,18181450846,3118
New Anthony,"Rivera, Martin and Turner",5035518,1712
,ffuH-rekaB,,4218
North Michelle,Kelly Inc,12476867,1108020
Dakotabury,HughesmRomero,21270459,477882
,,,5013
retsehcsnehpetS,dtL nameerF,77351201,
Lodeport,"Kennedy, Alvarez andfHansen",91917964,4670
,Irwin LLC,30641508606,4161
Alishabury,Hamcock LLC,17899956,15732
,"Rodrigugz, Stuart and Adams",77993912,2230
trofrraC,Ortiz Ltd,41144325,242110
New Samuelview,Johnson LLC,3079799,0012
trofeinahpetS weN,Mitchell-Moreno,1358154,
,,04532272,1772
,Gonzklez LLC,33053461598,5953
Wattsmouth,Frazier Ltd,85375843,2891
Williamtown,"llahsraM dna neerG ,nosnaH",,2762886
,Wright-Holmzs,16952170950,522600
Patelstad,,3678494144,
Easu Jason,Ward-Gardner,,
,Gamble and Sons,24698149,
yrubmailliW tsaE,"Mcintosh, Ochoa and Sanders",47597964,2644488
elleinaD tsaE,puorG ziuR,,2988320
,Kelly LLC,28833005,1040
Johnport,Adkinson Group,13719737115,
Williamberg,,879383,3377435
Amypout,"Lopez, Martin and Williams",30185992,3897994
South Ashleyside,Parrish-Franco,11316092160,
,cnI rebraB,9246575,1000
Gregoiyton,"Hayes, Reyes and Campbell",,4722
Jenniferborough,"Chaney, Flores and Martin",7626174,1870500
South Dan,Jones-Rush,48794054,
Shejishire,"Ramos, Brown and Winters",,929
Port Lyrnland,"Wong, Miller and Gordon",45028804,3733
Millertown,sknaB-erooM,2316019860,619
notnadroJ,Williams Inc,5289573,4069
East Larrgtown,Sherman-Schneider,9376754,
notsenoJ,"namkciH dna siweL ,letaP",68645393,3178
Troyport,,82429123,2158
Stephenmouth,"Valencia, Morales and Flores",32993315,2060
Gonzalezfort,Cuevas-Sellers,,5164
dnalodnanreF,cnI rehsiF,,
Millerbury,,,6042
,snoS dna ttoillE,16515613,4161
Lake Trxcy,dtL hciR,20304442,4886
dlareG tseW,Stone LLp,22909956,541812
,Matthews-Moore,,123
Port Kimberlytown,Gillespie LLC,7112194,
,"Baldwin, Corteznand Hart",8283461,125748
,Ferguson-Walton,38096443,936287
Noprischester,"nosduH dna azraG ,naeB",30826394,307455
Michaegmouth,,1097970138,479655
,Smith PLC,,3111
Port Ashleyburgh,"Hernandez, Chandler and qilliams",25117061,7224
Hubbardshire,Johnson Group,,
,"Taylor, Clark and Kerr",04289933,3034
South James,snoS dna sitruC,,2521
West Sxndra,,27762644,1715280
Huynhqtad,Caii-Bridges,05672352,147
,"Bush, Humphrey and Gray",,3923010
trufnagaeM,Kirk-Kelly,0180607,1273
,"Swanson, Houston and Baker",37358696,09
South Anne,yarG-xoC,7103406,
Tyroneport,"htimS dna razalaS ,nameloC",76891353,1257
,,55413982,6762
Fordland,,10358411710,
latsyrK ekaL,jyatt-Olson,21143249600,
New Jessicaton,Hernandez and Sons,40663842,
weivzeuqsaV,,8835881359,3637916
Chrisburoh,Cook PLC,5276748,3675
nevahnworB,,35930261,1258
Thorntonstad,Beasley-Miranda,40824737,2552
North Meredithland,,8322465,814
Epst Patrickchester,,10015994,
Perrystzd,Werner and Sons,33135371,
WestjWendy,"Edwards, Strong and Simon",,2214912
Garciamouth,"Brown, Carter and Baker",,4622
hgrubhtimS,Johnson-Becker,6373157,4403
New Marcohaven,"Proctor, Frederice and Terry",50413212,4847
weivylimE,"thgirW dna yeltneB ,zedneleM",,113
Andreastad,Mcjoy Inc,41446991,475
West Kelly,allidaP-odaravlA,21840223,670680
hguorobrednaxelA,Myers-Gordon,,902
Teresiview,puorG draW,92975643,2714
