Företagsnamn,Organisationsnummer,Omsättning,Antal Anställda,Bransch,Stad,E-post
Företag 25 AB,531547-6758,21916452.89,69,Utbildning,Linköping,kontakt@företag25ab.se
Företag 26 AB,525659-7990,36506675.63,404,Utbildning,Malmö,kontakt@företag26ab.se
Företag 27 AB,203607-4468,13075225.17,297,Utbildning,Göteborg,kontakt@företag27ab.se
Företag 28 AB,977336-2657,24212144.03,375,Finans,Västerås,kontakt@företag28ab.se
Företag 29 AB,163941-2749,3432173.26,267,Transport,Uppsala,kontakt@företag29ab.se
Företag 30 AB,440328-5075,38600710.77,136,Finans,Linköping,fel@epost
Företag 31 AB,495706-1672,34521507.07,103,Bygg,Örebro,fel@epost
Företag 32 AB,549757-1236,24449941.23,117,Handel,Uppsala,kontakt@företag32ab.se
Företag 33 AB,165289-8375,41637302.35,258,Handel,Malmö,kontakt@företag33ab.se
Företag 34 AB,357858-2948,46607051.68,473,IT,Uppsala,kontakt@företag34ab.se
Företag 35 AB,275534-3774,33547007.49,409,Utbildning,Örebro,kontakt@företag35ab.se
Företag 36 AB,931206-4970,420241.6,491,Finans,Malmö,kontakt@företag36ab.se
Företag 37 AB,150635-5658,38621781.35,185,Bygg,Västerås,kontakt@företag37ab.se
Företag 38 AB,286797-6930,2432364.62,124,Bygg,Malmö,kontakt@företag38ab.se
Företag 39 AB,785148-7612,43798560.61,359,Transport,Västerås,kontakt@företag39ab.se
Företag 40 AB,107523-5726,43965602.32,291,Transport,Stockholm,kontakt@företag40ab.se
Företag 41 AB,577400-1078,45361147.82,303,Handel,Uppsala,kontakt@företag41ab.se
Företag 42 AB,494728-5259,45007806.8,235,Finans,Stockholm,kontakt@företag42ab.se
Företag 43 AB,691117-9619,28453911.56,69,Transport,Linköping,kontakt@företag43ab.se
Företag 44 AB,966842-7063,20522446.17,88,Utbildning,Linköping,kontakt@företag44ab.se
Företag 45 AB,336577-7600,31471050.47,298,IT,Stockholm,kontakt@företag45ab.se
Företag 46 AB,452398-5302,24295397.77,435,IT,Västerås,kontakt@företag46ab.se
Företag 47 AB,618543-4061,30411449.28,167,Bygg,Uppsala,kontakt@företag47ab.se
Företag 48 AB,894035-4067,47202295.81,449,Finans,Uppsala,kontakt@företag48ab.se
Företag 49 AB,738543-3747,40337330.57,98,Finans,Uppsala,kontakt@företag49ab.se
Företag 50 AB,590624-9512,5541843.85,5,Transport,Västerås,kontakt@företag50ab.se
Företag 51 AB,707447-1466,15912169.6,76,Transport,Malmö,kontakt@företag51ab.se
Företag 52 AB,514784-8150,18900840.58,23,Handel,Västerås,kontakt@företag52ab.se
Företag 53 AB,919996-739X,44572176.75,1,Handel,Stockholm,fel@epost
Företag 54 AB,824711-7090,29073991.01,387,Bygg,Stockholm,kontakt@företag54ab.se
Företag 55 AB,172059-2588,23588077.74,428,Transport,Uppsala,fel@epost
Företag 56 AB,356760-1483,29385563.93,340,Transport,Örebro,kontakt@företag56ab.se
Företag 57 AB,465441-4804,4760093.41,124,Handel,Västerås,kontakt@företag57ab.se
Företag 58 AB,231024-3074,28648302.79,73,Hälsa,Stockholm,fel@epost
Företag 59 AB,325671-4576,26395940.6,194,Bygg,Örebro,kontakt@företag59ab.se
Företag 60 AB,648040-7080,33534667.16,344,Utbildning,Västerås,kontakt@företag60ab.se
Företag 61 AB,753974-1879,38711497.04,200,Utbildning,Västerås,kontakt@företag61ab.se
Företag 62 AB,556120-9519,13327078.5,42,Bygg,Göteborg,kontakt@företag62ab.se
Företag 63 AB,179069-4009,21622425.91,363,Transport,Västerås,kontakt@företag63ab.se
Företag 64 AB,472589-8866,36859308.56,205,Finans,Uppsala,kontakt@företag64ab.se
Företag 65 AB,150950-9296,37341795.05,484,Transport,Stockholm,kontakt@företag65ab.se
Företag 66 AB,617469-5495,37359714.9,466,Bygg,Västerås,kontakt@företag66ab.se
Företag 67 AB,202986-9079,4988309.93,326,IT,Linköping,kontakt@företag67ab.se
Företag 68 AB,591034-5769,10198223.05,193,Transport,Göteborg,kontakt@företag68ab.se
Företag 69 AB,720411-8824,25309572.99,428,Finans,Västerås,kontakt@företag69ab.se
Företag 70 AB,869592-2143,32467716.8,293,Bygg,Linköping,fel@epost
Företag 71 AB,293794-9781,40157181.43,239,Utbildning,Örebro,kontakt@företag71ab.se
Företag 72 AB,858897-7958,17693690.05,235,Bygg,Västerås,kontakt@företag72ab.se
Företag 73 AB,332020-7591,32965459.97,16,Utbildning,Malmö,kontakt@företag73ab.se
Företag 74 AB,974471-6767,20915878.43,364,Transport,Göteborg,kontakt@företag74ab.se
Företag 75 AB,410929-2861,29257457.09,96,Handel,Örebro,kontakt@företag75ab.se
Företag 76 AB,806129-5518,32313647.26,90,Utbildning,Stockholm,kontakt@företag76ab.se
Företag 77 AB,808850-7648,13366228.31,111,Handel,Uppsala,kontakt@företag77ab.se
Företag 78 AB,900363-3041,15606690.26,410,Utbildning,Göteborg,kontakt@företag78ab.se
Företag 79 AB,265017-3736,31504658.95,192,Utbildning,Uppsala,kontakt@företag79ab.se
Företag 80 AB,444479-5545,44064265.13,172,Bygg,Västerås,kontakt@företag80ab.se
Företag 81 AB,199091-3786,28518157.04,79,Hälsa,Örebro,kontakt@företag81ab.se
Företag 82 AB,737117-647X,38113117.21,344,Bygg,Linköping,kontakt@företag82ab.se
Företag 83 AB,577338-8781,30526572.07,160,Utbildning,Stockholm,kontakt@företag83ab.se
Företag 84 AB,714584-9397,15962471.63,91,Finans,Göteborg,kontakt@företag84ab.se
Företag 85 AB,574660-1125,14731683.82,185,Utbildning,Örebro,kontakt@företag85ab.se
Företag 86 AB,518565-5998,7448455.4,418,Utbildning,Västerås,kontakt@företag86ab.se
Företag 87 AB,250409-5205,19916853.4,182,Utbildning,Uppsala,kontakt@företag87ab.se
Företag 88 AB,789481-4801,32297105.61,460,Utbildning,Uppsala,kontakt@företag88ab.se
Företag 89 AB,247481-3662,42820645.81,441,Transport,Stockholm,kontakt@företag89ab.se
Företag 90 AB,921277-607X,49768744.65,142,Transport,Uppsala,kontakt@företag90ab.se
Företag 91 AB,700687-8493,10620993.85,13,Transport,Örebro,kontakt@företag91ab.se
Företag 92 AB,367145-6797,29143847.61,264,Transport,Stockholm,kontakt@företag92ab.se
Företag 93 AB,174970-4481,37243807.47,108,Finans,Linköping,kontakt@företag93ab.se
Företag 94 AB,170294-9455,13498422.38,283,Transport,Örebro,kontakt@företag94ab.se
Företag 95 AB,581561-2903,7010677.19,438,IT,Västerås,kontakt@företag95ab.se
Företag 96 AB,507920-3173,2451795.68,363,Finans,Malmö,kontakt@företag96ab.se
Företag 97 AB,537173-6612,1021615.63,162,Hälsa,Örebro,kontakt@företag97ab.se
Företag 98 AB,100679-2585,21143795.6,101,Utbildning,Göteborg,kontakt@företag98ab.se
Företag 99 AB,542728-1975,14484565.66,462,Hälsa,Uppsala,kontakt@företag99ab.se
Företag 100 AB,595822-2379,35123733.37,8,Bygg,Örebro,kontakt@företag100ab.se
Företag 101 AB,499356-8524,30073677.12,376,Transport,Västerås,fel@epost
Företag 102 AB,735468-5348,45520050.1,87,Finans,Västerås,kontakt@företag102ab.se
Företag 103 AB,638560-1094,1674981.81,455,Handel,Stockholm,kontakt@företag103ab.se
Företag 104 AB,960223-799X,25970199.59,70,IT,Örebro,kontakt@företag104ab.se
Företag 105 AB,901541-8438,37931859.09,34,Finans,Västerås,kontakt@företag105ab.se
Företag 106 AB,703528-798X,23425917.76,229,Transport,Västerås,kontakt@företag106ab.se
Företag 107 AB,934074-6056,26683930.47,10,Hälsa,Stockholm,kontakt@företag107ab.se
Företag 108 AB,794882-4093,12488409.28,165,Finans,Stockholm,fel@epost
Företag 109 AB,123083-5888,18868563.91,88,Utbildning,Västerås,kontakt@företag109ab.se
Företag 110 AB,346331-2523,16370171.15,197,Transport,Göteborg,kontakt@företag110ab.se
Företag 111 AB,345737-8402,1830896.9,237,Hälsa,Örebro,kontakt@företag111ab.se
Företag 112 AB,892277-5018,13074657.16,379,Hälsa,Örebro,kontakt@företag112ab.se
Företag 113 AB,881155-4784,4244014.83,369,Bygg,Örebro,kontakt@företag113ab.se
Företag 114 AB,530789-861X,9228802.63,417,Utbildning,Uppsala,kontakt@företag114ab.se
Företag 115 AB,274433-4877,32231241.99,279,Bygg,Uppsala,kontakt@företag115ab.se
Företag 116 AB,686315-6709,23937134.41,214,Bygg,Uppsala,kontakt@företag116ab.se
Företag 117 AB,853098-8467,47377173.14,14,Handel,Malmö,kontakt@företag117ab.se
Företag 118 AB,901221-2884,41708894.74,21,Transport,Västerås,kontakt@företag118ab.se
Företag 119 AB,419929-730X,39222490.45,335,Bygg,Malmö,kontakt@företag119ab.se
Företag 120 AB,702573-5959,2241130.34,144,Handel,Malmö,kontakt@företag120ab.se
Företag 121 AB,689077-7217,46854476.74,435,Hälsa,Västerås,kontakt@företag121ab.se
Företag 122 AB,517754-197X,24024015.65,282,Finans,Stockholm,kontakt@företag122ab.se
Företag 123 AB,306283-9595,47880699.71,225,Handel,Göteborg,kontakt@företag123ab.se
Företag 124 AB,383048-5219,47174304.65,489,Finans,Göteborg,kontakt@företag124ab.se
Företag 125 AB,722122-1160,44914103.97,179,Handel,Uppsala,kontakt@företag125ab.se
Företag 126 AB,339397-3918,25740274.34,68,IT,Linköping,kontakt@företag126ab.se
Företag 127 AB,824951-3490,42447811.31,432,Bygg,Stockholm,kontakt@företag127ab.se
Företag 128 AB,651366-600X,18276275.4,290,Bygg,Västerås,kontakt@företag128ab.se
Företag 129 AB,689298-1883,6865833.86,136,Hälsa,Örebro,fel@epost
Företag 130 AB,663649-8395,5112094.38,412,Handel,Örebro,kontakt@företag130ab.se
Företag 131 AB,148055-4350,25142308.18,88,Hälsa,Västerås,kontakt@företag131ab.se
Företag 132 AB,642645-6917,29040263.18,321,Utbildning,Uppsala,kontakt@företag132ab.se
Företag 133 AB,184669-5646,41883556.4,174,Hälsa,Malmö,kontakt@företag133ab.se
Företag 134 AB,135408-3184,32338294.26,76,IT,Linköping,kontakt@företag134ab.se
Företag 135 AB,396534-4918,15009267.77,97,Finans,Göteborg,kontakt@företag135ab.se
Företag 136 AB,688076-5459,2356421.33,48,Handel,Uppsala,kontakt@företag136ab.se
Företag 137 AB,361588-1585,30418769.25,200,Transport,Malmö,kontakt@företag137ab.se
Företag 138 AB,637808-2591,22731063.36,5,Transport,Västerås,kontakt@företag138ab.se
Företag 139 AB,243002-9678,7268349.14,345,Finans,Örebro,kontakt@företag139ab.se
Företag 140 AB,118200-9471,12340790.35,396,IT,Uppsala,kontakt@företag140ab.se
Företag 141 AB,795089-3836,34941637.56,423,Handel,Örebro,kontakt@företag141ab.se
Företag 142 AB,136044-4904,39821443.97,17,Bygg,Stockholm,kontakt@företag142ab.se
Företag 143 AB,205734-2217,29889989.01,374,Utbildning,Malmö,kontakt@företag143ab.se
Företag 144 AB,551343-2886,20170340.55,419,Transport,Göteborg,kontakt@företag144ab.se
Företag 145 AB,478998-3011,38743738.44,437,IT,Göteborg,kontakt@företag145ab.se
Företag 146 AB,117669-4231,28975139.76,197,Bygg,Göteborg,kontakt@företag146ab.se
Företag 147 AB,152016-7065,14909597.54,182,Hälsa,Västerås,kontakt@företag147ab.se
Företag 148 AB,545229-9245,24956379.54,77,Bygg,Västerås,kontakt@företag148ab.se
Företag 149 AB,212294-196X,1726419.89,315,Handel,Stockholm,kontakt@företag149ab.se
Företag 150 AB,468072-4005,42167028.06,486,Handel,Linköping,kontakt@företag150ab.se
Företag 151 AB,484121-1001,19551204.48,398,IT,Västerås,kontakt@företag151ab.se
Företag 152 AB,233523-7811,26970374.77,431,Utbildning,Västerås,kontakt@företag152ab.se
Företag 153 AB,125478-3550,46358692.24,422,Hälsa,Stockholm,kontakt@företag153ab.se
Företag 154 AB,154544-9868,16875009.49,241,Finans,Malmö,kontakt@företag154ab.se
Företag 155 AB,998547-7962,22712447.26,175,IT,Göteborg,kontakt@företag155ab.se
Företag 156 AB,781336-5684,30446991.9,380,IT,Örebro,fel@epost
Företag 157 AB,271290-1438,21453759.18,436,Finans,Linköping,kontakt@företag157ab.se
Företag 158 AB,775311-5463,37202551.48,136,Hälsa,Västerås,kontakt@företag158ab.se
Företag 159 AB,445426-1169,5190374.77,285,Bygg,Linköping,kontakt@företag159ab.se
Företag 160 AB,216411-8257,46817573.7,491,Utbildning,Malmö,kontakt@företag160ab.se
Företag 161 AB,868490-1818,40422723.13,437,IT,Västerås,kontakt@företag161ab.se
Företag 162 AB,425481-6975,8553301.18,75,Handel,Örebro,kontakt@företag162ab.se
Företag 163 AB,190838-4160,3638853.65,209,Bygg,Uppsala,kontakt@företag163ab.se
Företag 164 AB,110655-7361,8949535.74,411,Utbildning,Örebro,kontakt@företag164ab.se
Företag 165 AB,533785-4173,33262841.09,99,Handel,Örebro,kontakt@företag165ab.se
Företag 166 AB,601473-5519,41751492.31,309,IT,Stockholm,kontakt@företag166ab.se
Företag 167 AB,283561-6090,36161858.45,468,Bygg,Stockholm,kontakt@företag167ab.se
Företag 168 AB,390468-8247,9402062.02,463,IT,Malmö,kontakt@företag168ab.se
Företag 169 AB,579037-2057,34287618.93,213,Handel,Stockholm,kontakt@företag169ab.se
Företag 170 AB,833423-2501,31315078.58,291,Bygg,Linköping,kontakt@företag170ab.se
Företag 171 AB,900233-1477,34062713.99,103,IT,Västerås,kontakt@företag171ab.se
Företag 172 AB,554914-4376,5579317.4,313,Handel,Uppsala,kontakt@företag172ab.se
Företag 173 AB,138021-2151,6680450.47,118,Hälsa,Västerås,kontakt@företag173ab.se
Företag 174 AB,545297-4533,7102933.65,22,IT,Uppsala,kontakt@företag174ab.se
Företag 175 AB,356346-7112,22661926.72,312,Handel,Linköping,kontakt@företag175ab.se
Företag 176 AB,390897-1348,25639238.05,427,Handel,Uppsala,kontakt@företag176ab.se
Företag 177 AB,725614-7208,12124795.36,18,Utbildning,Uppsala,kontakt@företag177ab.se
Företag 178 AB,538333-1290,4631215.03,481,Hälsa,Stockholm,kontakt@företag178ab.se
Företag 179 AB,559157-9632,2450573.59,308,Hälsa,Linköping,kontakt@företag179ab.se
Företag 180 AB,129846-870X,11557461.69,226,Finans,Örebro,kontakt@företag180ab.se
Företag 181 AB,468964-8022,19271494.22,390,Hälsa,Örebro,kontakt@företag181ab.se
Företag 182 AB,908827-9127,502520.97,387,IT,Uppsala,kontakt@företag182ab.se
Företag 183 AB,133662-3600,43193620.88,389,Hälsa,Uppsala,kontakt@företag183ab.se
Företag 184 AB,249993-1478,19779776.61,307,Finans,Uppsala,kontakt@företag184ab.se
Företag 185 AB,457466-6024,31657787.96,90,Utbildning,Uppsala,kontakt@företag185ab.se
Företag 186 AB,800289-5177,3934187.62,493,IT,Stockholm,kontakt@företag186ab.se
Företag 187 AB,837406-4415,206353.02,255,Transport,Linköping,kontakt@företag187ab.se
Företag 188 AB,874106-2116,25529280.67,395,Transport,Göteborg,kontakt@företag188ab.se
Företag 189 AB,850752-8103,15879308.01,233,Transport,Linköping,kontakt@företag189ab.se
Företag 190 AB,701691-9423,29185137.55,83,Transport,Malmö,fel@epost
Företag 191 AB,537598-5614,46282950.7,468,Handel,Uppsala,kontakt@företag191ab.se
Företag 192 AB,632421-2038,43145471.58,238,IT,Linköping,kontakt@företag192ab.se
Företag 193 AB,659483-4801,25452665.11,459,Hälsa,Örebro,kontakt@företag193ab.se
Företag 194 AB,405711-870X,14181885.82,271,Handel,Malmö,kontakt@företag194ab.se
Företag 195 AB,735011-3895,30426486.3,440,Transport,Stockholm,kontakt@företag195ab.se
Företag 196 AB,901980-637X,6881325.0,92,Hälsa,Örebro,kontakt@företag196ab.se
Företag 197 AB,916064-9922,15640565.89,111,Utbildning,Stockholm,kontakt@företag197ab.se
Företag 198 AB,128342-5419,45300163.03,465,Utbildning,Linköping,kontakt@företag198ab.se
Företag 199 AB,881336-4873,8869054.44,402,Finans,Västerås,kontakt@företag199ab.se
Företag 200 AB,163142-1357,49449834.13,263,Transport,Örebro,kontakt@företag200ab.se
Företag 201 AB,413278-4729,5249425.25,63,Finans,Uppsala,kontakt@företag201ab.se
Företag 202 AB,449665-505X,31321404.22,453,Finans,Stockholm,kontakt@företag202ab.se
Företag 203 AB,795025-1885,33874987.04,195,Transport,Göteborg,kontakt@företag203ab.se
Företag 204 AB,384484-2031,26417354.14,202,Utbildning,Uppsala,kontakt@företag204ab.se
Företag 205 AB,371254-8328,2289656.91,355,Transport,Stockholm,kontakt@företag205ab.se
Företag 206 AB,956236-5860,5390554.67,289,Hälsa,Malmö,kontakt@företag206ab.se
Företag 207 AB,470673-8240,12705423.8,95,IT,Linköping,kontakt@företag207ab.se
Företag 208 AB,690420-4529,23013913.37,450,Hälsa,Malmö,kontakt@företag208ab.se
Företag 209 AB,964136-9507,12750455.21,201,IT,Uppsala,kontakt@företag209ab.se
Företag 210 AB,106587-8150,8431821.43,324,IT,Västerås,fel@epost
Företag 211 AB,635593-1397,36696144.2,374,Utbildning,Uppsala,kontakt@företag211ab.se
Företag 212 AB,933045-3786,40443164.71,7,Utbildning,Örebro,kontakt@företag212ab.se
Företag 213 AB,950845-4443,26208541.43,345,Utbildning,Örebro,kontakt@företag213ab.se
Företag 214 AB,388227-3758,6219475.8,219,Hälsa,Örebro,kontakt@företag214ab.se
Företag 215 AB,778160-5612,10100524.41,306,Transport,Västerås,kontakt@företag215ab.se
Företag 216 AB,870728-4069,45999097.91,375,Handel,Uppsala,kontakt@företag216ab.se
Företag 217 AB,909136-4178,48539447.58,82,IT,Uppsala,kontakt@företag217ab.se
Företag 218 AB,721242-3773,48749369.99,277,Utbildning,Malmö,kontakt@företag218ab.se
Företag 219 AB,865983-8476,14071405.13,106,Utbildning,Örebro,fel@epost
Företag 220 AB,575924-7983,36453149.41,429,Hälsa,Stockholm,kontakt@företag220ab.se
Företag 221 AB,841420-6775,44334883.89,442,Hälsa,Göteborg,kontakt@företag221ab.se
Företag 222 AB,749433-5329,14280612.38,469,Bygg,Uppsala,kontakt@företag222ab.se
Företag 223 AB,337027-7818,39305819.12,138,Transport,Örebro,kontakt@företag223ab.se
Företag 224 AB,129753-6084,11239351.5,187,Finans,Göteborg,kontakt@företag224ab.se
Företag 225 AB,121427-6276,10551599.73,347,IT,Malmö,kontakt@företag225ab.se
Företag 226 AB,419613-4843,25219118.34,181,IT,Malmö,kontakt@företag226ab.se
Företag 227 AB,257853-5888,15622077.09,342,Transport,Uppsala,kontakt@företag227ab.se
Företag 228 AB,234105-2385,19248858.93,15,Transport,Örebro,kontakt@företag228ab.se
Företag 229 AB,903077-3226,35545171.09,457,Utbildning,Uppsala,kontakt@företag229ab.se
Företag 230 AB,357195-2936,42374494.29,168,Handel,Uppsala,kontakt@företag230ab.se
Företag 231 AB,478817-2835,31207697.62,82,Hälsa,Stockholm,kontakt@företag231ab.se
Företag 232 AB,410874-5766,14201758.38,440,Handel,Göteborg,kontakt@företag232ab.se
Företag 233 AB,330314-5913,39535651.8,183,IT,Linköping,kontakt@företag233ab.se
Företag 234 AB,375934-2095,19229606.68,343,Bygg,Örebro,kontakt@företag234ab.se
Företag 235 AB,950195-6493,35918274.45,34,Finans,Västerås,kontakt@företag235ab.se
Företag 236 AB,796299-8988,35836939.42,429,Hälsa,Göteborg,kontakt@företag236ab.se
Företag 237 AB,571213-9258,3645523.84,17,Bygg,Örebro,kontakt@företag237ab.se
Företag 238 AB,795653-3984,43580584.81,481,Hälsa,Göteborg,kontakt@företag238ab.se
Företag 239 AB,153329-1142,34187142.4,101,Handel,Uppsala,kontakt@företag239ab.se
Företag 240 AB,790810-9175,49984367.96,84,Transport,Örebro,kontakt@företag240ab.se
Företag 241 AB,863242-4391,37817862.93,498,Transport,Uppsala,kontakt@företag241ab.se
Företag 242 AB,126425-9045,966243.79,225,IT,Malmö,kontakt@företag242ab.se
Företag 243 AB,366062-917X,29276639.9,22,IT,Västerås,kontakt@företag243ab.se
Företag 244 AB,718513-9812,25633882.88,433,Handel,Göteborg,kontakt@företag244ab.se
Företag 245 AB,487591-8873,25416644.75,424,Finans,Västerås,kontakt@företag245ab.se
Företag 246 AB,307297-6576,1659241.42,364,Bygg,Uppsala,kontakt@företag246ab.se
Företag 247 AB,484968-5200,29381096.29,200,IT,Västerås,kontakt@företag247ab.se
Företag 248 AB,536269-6664,15858568.52,314,Transport,Västerås,kontakt@företag248ab.se
Företag 249 AB,111155-1954,20086964.48,19,IT,Malmö,kontakt@företag249ab.se
Företag 250 AB,819862-1836,23072303.31,67,Finans,Stockholm,kontakt@företag250ab.se
Företag 251 AB,787344-5772,11589350.18,68,Finans,Örebro,kontakt@företag251ab.se
Företag 252 AB,436955-4564,11079113.25,450,Transport,Linköping,fel@epost
Företag 253 AB,855750-3165,9467480.56,230,Finans,Örebro,kontakt@företag253ab.se
Företag 254 AB,306243-3104,43733065.89,146,Utbildning,Göteborg,kontakt@företag254ab.se
Företag 255 AB,992486-404X,15705213.75,136,IT,Västerås,kontakt@företag255ab.se
Företag 256 AB,102180-3754,32784075.96,454,Bygg,Göteborg,kontakt@företag256ab.se
Företag 257 AB,633074-6557,48414250.34,471,Utbildning,Uppsala,kontakt@företag257ab.se
Företag 258 AB,550791-4368,10202250.5,225,IT,Linköping,kontakt@företag258ab.se
Företag 259 AB,115165-9235,11799813.52,500,Transport,Uppsala,kontakt@företag259ab.se
Företag 260 AB,758710-8124,38777771.29,338,Transport,Uppsala,kontakt@företag260ab.se
Företag 261 AB,626379-2683,33439384.64,322,Utbildning,Linköping,kontakt@företag261ab.se
Företag 262 AB,549430-2817,45473591.01,15,Handel,Stockholm,kontakt@företag262ab.se
Företag 263 AB,239077-4138,38854357.17,171,Hälsa,Stockholm,fel@epost
Företag 264 AB,284828-5246,43972680.02,277,Handel,Stockholm,kontakt@företag264ab.se
Företag 265 AB,263822-6302,43107779.74,114,Bygg,Västerås,kontakt@företag265ab.se
Företag 266 AB,892815-4565,38799292.01,378,Utbildning,Örebro,kontakt@företag266ab.se
Företag 267 AB,504380-5951,42447779.04,498,Finans,Uppsala,kontakt@företag267ab.se
Företag 268 AB,394821-7637,45621131.73,44,Utbildning,Uppsala,fel@epost
Företag 269 AB,384242-5476,31314570.88,29,Transport,Örebro,kontakt@företag269ab.se
Företag 270 AB,859346-2242,19529404.55,346,Bygg,Västerås,kontakt@företag270ab.se
Företag 271 AB,215005-2416,7903444.52,494,IT,Malmö,kontakt@företag271ab.se
Företag 272 AB,455810-5314,12784725.41,240,Bygg,Stockholm,kontakt@företag272ab.se
Företag 273 AB,520414-7489,5796510.52,149,IT,Malmö,kontakt@företag273ab.se
Företag 274 AB,784739-5809,27887038.67,413,Hälsa,Malmö,fel@epost
Företag 275 AB,238391-5712,49152038.94,225,Handel,Linköping,kontakt@företag275ab.se
Företag 276 AB,633371-3791,20315863.2,323,Finans,Örebro,kontakt@företag276ab.se
Företag 277 AB,338589-832X,42181851.17,323,Transport,Malmö,kontakt@företag277ab.se
Företag 278 AB,768059-4321,38190381.83,321,Finans,Västerås,kontakt@företag278ab.se
Företag 279 AB,370089-5872,27111934.49,369,Bygg,Örebro,fel@epost
Företag 280 AB,202279-2090,23982335.38,62,Finans,Göteborg,kontakt@företag280ab.se
Företag 281 AB,370109-2554,4895034.22,185,Hälsa,Uppsala,kontakt@företag281ab.se
Företag 282 AB,855601-8785,1193829.99,15,Utbildning,Västerås,kontakt@företag282ab.se
Företag 283 AB,386955-3704,22283872.94,458,Handel,Örebro,kontakt@företag283ab.se
Företag 284 AB,767684-1158,48030863.62,407,Transport,Uppsala,kontakt@företag284ab.se
Företag 285 AB,842796-6374,4721524.5,331,Utbildning,Göteborg,kontakt@företag285ab.se
Företag 286 AB,733623-9784,42093413.86,345,Hälsa,Linköping,kontakt@företag286ab.se
Företag 287 AB,165408-1257,30506014.55,364,Utbildning,Malmö,kontakt@företag287ab.se
Företag 288 AB,689763-3232,25858470.1,189,Hälsa,Linköping,kontakt@företag288ab.se
Företag 289 AB,799713-4289,41486201.64,253,Bygg,Göteborg,kontakt@företag289ab.se
Företag 290 AB,583500-3923,18876621.74,3,Transport,Göteborg,kontakt@företag290ab.se
Företag 291 AB,453491-2118,907328.98,11,Transport,Göteborg,kontakt@företag291ab.se
Företag 292 AB,903835-3417,26293109.97,14,Bygg,Stockholm,kontakt@företag292ab.se
Företag 293 AB,560477-2976,5933090.46,436,Hälsa,Malmö,kontakt@företag293ab.se
Företag 294 AB,594604-3182,26709266.08,277,Handel,Malmö,kontakt@företag294ab.se
Företag 295 AB,622495-8155,47301810.36,128,Handel,Linköping,kontakt@företag295ab.se
Företag 296 AB,864551-9629,40491619.15,328,Handel,Västerås,kontakt@företag296ab.se
Företag 297 AB,974182-2264,13409268.74,309,Handel,Örebro,kontakt@företag297ab.se
Företag 298 AB,565461-3685,18156880.84,217,Hälsa,Uppsala,kontakt@företag298ab.se
Företag 299 AB,704574-5893,25523073.32,400,Bygg,Örebro,kontakt@företag299ab.se
Företag 300 AB,171164-4612,24863614.06,49,Transport,Örebro,kontakt@företag300ab.se
Företag 301 AB,990611-3071,38089140.39,156,Finans,Linköping,kontakt@företag301ab.se
Företag 302 AB,861392-5765,7494636.63,462,Transport,Linköping,kontakt@företag302ab.se
Företag 303 AB,195255-4589,38774019.32,41,Handel,Västerås,kontakt@företag303ab.se
Företag 304 AB,812288-6717,24940828.02,437,Bygg,Malmö,kontakt@företag304ab.se
Företag 305 AB,933223-6407,37724667.88,325,IT,Göteborg,kontakt@företag305ab.se
