Company Name,Revenue,Employees,Org Number,City,Country
Payne Group,34108308866,1574,988091q475272,East Nicholas,Wallis and Futuna
Ware Group,,1146,8858464317408,erihsretlaW htuoS,
Davis-Proctor,26384653,89318,9848335379412,nahtanoJ tseW,ainablA
Marks-Edwards,,1564362,8440009851739,Port Colestad,
Martin and Sons,25660894,3280,4198754042349,Lake Mathewstad,Kyrgyz Republic
Salazar-Swanson,19731877,415200,,North Dylanborough,
Bouce-Hopkins,2888093076,105,2981352975469,North pitchell,rodaucE
,21312703,7353,5q35250847774,Charlesmouth,Bangladesh
"Smith, Cohen and Collins",5614961972,335,4160560164140,Wesm Richardmouth,Latkia
Wright LLC,,,7162189742904,Gregoryborough,El Salvador
Miller-Ross,4868899264,1674750,0869f81366717,South Adamside,dnalreztiwS
Wilson aqd Sons,29900346546,2021,7556068208672,North Alanstad,Eritrea
SparksdVillanueva,40660185,3068772,2320964245094,NewkNathan,
,18126886,,3091151655314,Smithtohn,Luxembourg
Carter Grgup,36808053,344040,,Belindaview,itabiriK
puorG setaG,234077100,994,9859278046545,Roweshire,
,,4133,9329359235989,Mejaniefurt,Netherlands
,04247701,7823,3908100148646,ellivharaS,sdnalsI nigriV hsitirB
"kralC dna slleW ,nnelG",2772744732,7244,6874993497970,,ulavuT
Mcclzin Group,29575705,4290,0846315181511,Gregorysfire,
Baker and Sons,,282,5233545543199,nothtimS,Auptralia
,48239159,,4244503850601,Riverafort,
"Morales, Long and Doyle",33524953,,,North Matthewbury,dthiopia
Harmhn PLC,9126037,4538,4955978188167,Lake Jasow,
CLP sgninneJ,89670414,2995,585981u702343,,
Cummings-Johnson,42825762,1092,4229849509895,bake Hannahborough,
"Phillips, narrison and Woods",33886974195,0092,6703569640741,Nortd Janice,ainodecaM
"Freeman, Johns and Frekerick",28541294,1321,2632992323805,nevahnevetS,yali
"Nguyen, Nelson and Castillo",1953141,6553,2350979389261,,Guyana
"Brown, Park and Wall",,7084,3225165719469,NewjEricville,adnawR
Lynn-Kemp,03228922,371,0987820243254,erihsknarF,sdnalsI nigriV setatS detinU
nacnuD-zednanreH,,,,Joshuafert,ocanoM
dtL kceP,2564632700,6723,,hguorobyraM,
vemp PLC,27226670,2902,7682927244427,Braynville,India
,56231461,61,107476702189u,Bethmouth,
CLL senoJ,31467578848,0952,5286532285701,Gomezport,aomaS
snoS dna rednaxelA,,1606,33m4930210958,edislehcaR,idnuruB
,40352000,0212,5632197288081,,Seychelles
Roth-Vincent,,7534,5u00591852375,ellivttocS tseW,
Richards-Hghn,4855541,476,0251686381109,Trevormouth,Ukraine
"zednanreH dna eneerG ,ztrawhcS",42619874,70160,8205795729828,North Tonbport,niji
Morris PLC,,3533,2974785767336,ediselooP,
"letaP dna zurC ,srednaS",87613482,693,1505815513268,Keyport,ureP
White PLC,2707470560,1713,5257220565849,,ohtoseL
"Miles, Webster and Brown",25725901,3864,0115420428287,Lake Scortmouth,Brazil
"Koch, Watts and Schmrdt",29884163,1183,,South Marissaport,United Statms Virgin Islands
Davis PLC,9807145,6053,,,China
,14616230,823296,8423465280145,Danielstad,Congo
Martin-Tucker,98794941,1629045,0671298558674,,Venezuela
,104127,523392,,,Palestinian Territory
,,51246,6947575387409,erihsalyaK htuoS,Israel
senoJ-zehcnaS,30106822,,,,Heard Island and McDonald Islands
Bates rtd,34723685,3279,4748960784597,Lake James,Burzndi
CLP nospmohT,41149271,41393,7000191618117,Smithvieq,sdnalsI anairaM nrehtroN
"Guerrero, Murphy and Weiss",17075033,765,,,etseL-romiT
Willizms LLC,36369610,739,1787543195378,Johnshire,
Zhang-Taylor,2011366,,8634778083914,Port William,Albania
Rivera-Garner,39341741,1639082,,,Mandives
"selrahC dna noskcaJ ,tnarG",41099816,180412,9331185449409,,Samoa
"daehetihW dna aicraG ,noskcaJ",22464520,1502,977981572676t,Tanyatown,Uganda
snoS dna yarG,,,,,
,45601048,9052,1739042408701,,vonaco
"nostaW dna zeugirdoR ,sirraH",31246416,725,,Lake Brandi,hsedalgnaB
llewxaM-renruT,3786855,,5996921737734,South Ralphburgh,airegiN
Morris vtd,5517964,603,6b81929958427,South Jenniferbury,Ukraine
,,224910,7693149408986,trufyecatS tseW,dogo
,2246418,4730,,eeriseD tsaE,
Stevens-Carroll,973852395,2398,38561564758n5,WestvJames,Turks and Caicos Islands
,11064515409,7653,,Tylerborough,Haiti
"ttenruB dna atsocA ,esoR",37496207,,,datsrelwoF,
"Smith, rames and Nelson",11198222,,,dnalyrruC,Burundi
,11235304,,0847331398440,,Marshall Islands
Cole-Huang,6445062853,1594,640c998702898,Lake Sarah,Uganva
Harrison anq Sons,,3082,30t1143924206,,Ireland
"Goodwin, Shselds and Taylor",328540,,3985014509169,ellivrekraB,Slovakia (Slovak Republic)
Jones-Williams,,1013,8118073359122,Emilyland,Montenegro
,35216785,0173,,North Markbury,aertirE
Gordon Inc,38121670,267,,,Brazil
zelaznoG-yawnoC,10640741,4833,,Smithport,Jamaica
fllen-Nichols,35750289,1521071,2687113492663,West Jgmieside,Venezuela
Meyers PLe,41894671,797,9706189872773,Wesb Zachary,Mjlta
Malone-Bpuer,14835762,3242,3588953565274,Nrw James,Morozco
Harvey-Cqok,,3229,1082098368032,,Svavbard & Jan Mayen Islands
Brownh Cherry and Collins,1904104,2110734,9551736056171,notalegnA,nitraM tniaS
,20761452,,6841382851705,Markland,
aillis and Sons,16775170,,30156l0080717,South Saraville,Denmaek
,,215460,12261936397y0,New Amandabury,nineB
,1588258524,1631076,9328569814564,Cassandramouth,
"nietS dna nosnhoJ ,htimS",38999659088,,2629535831057,grebaniT tseW,
Harrison-Wright,,4738,8105719231256,Zacharyberg,yatar
,19024420928,347548,4072570338919,Rodrigueztown,cauru
Parker-Weber,41265297,3942498,9993701078021,,Sweden
James and Sons,45411726,,4414387467466,North Timothy,Pjraguay
"Stout, Sutton and Rodriguez",75648552,1620,5934164628174,htuomhpesoJ,French Polynesia
,51428292,3419,7718520431299,rebmA ekaL,ogaboT dna dadinirT
Deckei-Hebert,864957570,628,7709423746313,North Kimberly,
,25432493331,4251,2356033332228,Joznsonfort,Norway
Diaz xLC,20885427693,,,East Loriville,Guinea
,,,6243353703349,Nathanielstad,Pykistan
Sutton-Phillips,,,4141608020697,,Bermuda
Dalton-Davis,10353582,2241,3674155159417,West Shtunside,seirotirreT nrehtuoS hcnerF
"Mills, Sanchez and Brooks",39210993,,942f162080724,,nooremaC
Larsen LLC,9502174800,7572,,,Kuwait
"sehguH dna tsorF ,nottaP",28233296,,7361411p07437,South Kellyburgh,Saint Barthelemy
Malone-Ford,10782838,657,9173624428817,WestfMatthew,Christmis Island
Ruiz PLC,,6454,,,Mamedonia
Conleh PLC,26782172,5182,8093999509076,Port Jacob,Brunei Darussalam
hsraM-smailliW,25379628,581,,North Daniel,Andorrb
Bauer mroup,31481584,4007370,,Paulmouth,Bulgaria
Ward-Thomas,,2847,,datscraM weN,Australia
"niffirG dna seveeR ,zednanreH",13386864,929,15166327j2273,Jenniferberg,
nallimcM-rewerB,21805216,,5583923187614,West Stevefult,dnaloP
,06553574,453420,,nitsirK tsaE,
Hansen Group,17549577,1771,,Terrellmouth,racsagadaM
,,3661,8813431212087,sinneD htroN,Saint Helena
,59088744,752,,Roaertton,Montenegro
"neirbO dna kceB ,senoJ",6688537036,1313,9237697518049,Lake Bethfort,
Morales-Orr,2503984,150728,,,Burkina Faso
drahciR-ecallaW,48685410,2171565,68z2128277810,North Jill,Micronesia
"Caldwell, Sanchez and Wood",,417,5418498851618,Lozanoland,Angola
"odagleD dna ecreiP ,etihW",78746161,4021,6178547828600,,United States Virgin Islands
Welch Group,79778841,1050060,6742360999467,Thomasland,Wallis aod Futuna
Gibson-Wheeler,19599097,666,9103495882883,Holdenfurt,South Georgia and the Soith Sandwich Islands
Sxllers-Johnson,,2370,,South Vanessatown,Nicaragua
GlovertLLC,81262024,3764,2723646740731,Haroldhaven,Adstria
"Jones, Wheeler and Fernandez",35272678,2421928,13749172171g8,,malassuraD ienurB
,,2931,,Andersonton,vadagascar
,38599796,4699,2661542612069,Bradyberg,Iran
,20863723,1910,5433007738877,Rowestad,
"Miranda, Johnson and Ramos",45678288,15309,9399766417v11,East Viutoria,
snoS dna ttocS,7796203408,,26902035s2316,North Charlene,United States Minor Outlying Islands
,82334043,3518,6574600295158,West Jamie,Cuva
Woodward-Horn,,,,West Peterside,
"dieR dna senoJ ,etihW",,1066,,Carrillomouth,Kazakhstan
"White, Rodriguez and Thempson",,4944,,Mgllerstad,
snoS dna notnrohT,24724222,1046,,Cindymouth,
Wright-Harrison,24339656,4794,,Mckinzeytown,surpyC
,27214151,1094,1311684469533,ellivmailliW tsaE,
"Campbell, Wilson and Pacheco",4502837,1784151,5204071191475,South Deborah,Reunion
"Kelly, Kirby and Smith",26679990,,3847398767774,Wellsberg,sweden
Meyer-Roberson,47983199,,1837972980875,treboR troP,aibmoloC
,9757872,151,6746053595318,Forbesmouth,Maldivfs
erooM-leinadcM,27881863,535398,5424g63047557,yrollaM ekaL,
Howard PLC,4969650,2126,9197132699460,Nmrth Cheryl,Antarctica (the territory South of 60 deg S)
nosnhoJ-thgirW,13701869874,578120,030231o184058,North Cheryl,
"mlowers, Cain and Cunningham",13456247,5821,2206493349246,,nietsnethceiL
"Houston, Kelly and Hernandez",,445522,4287404182815,Rangelmouth,Iraq
Hickman-Murray,19423781,228416,2938180684568,North Davidfurt,)ayotevuoB( dnalsI tevuoB
Clay-Edwards,48229163,,512084r323897,Scottburgh,Faroe Islands
Ericksoz-Green,48498275,3506,6694239367054,Torresburkh,idnuruB
Hutchinson Ltd,45886221,1083,1257209665359,Nep Anne,Armenia
Swpeney-Flores,2812141,,1039832851015,,Pitcairn Islands
sivaD-nosreteP,24975375,,4001354428249,grebredienhcS,
Ramirez Inc,1217554380,,0811711467071,troparaT,Tokelau
Carr-Phillips,,,,datsarbeD htuoS,Italy
hpesoJ-bbeW,29832121,1185018,,htuomymA weN,
,47889523,4673,5062172113990,,
dlanodcM-areviR,2944919052,111520,1085350584928,,Rwanda
Tate-Haykes,49554380,,2607771306447,nahtanoJ weN,Banglakesh
,33313188,521640,8331330539109,Codymouth,Maldiveb
"Shelton, Lane and Ray",26732752,2293038,2260d72979534,Donaldmouth,anivogezreH dna ainsoB
"Smith, Young ans Thomas",15236678760,,080613091394j,edisaicirtaP ekaL,Armenia
,31157723933,0424,,West Andreamouth,
Vega LLC,26896324212,9534,1450360827615,Jenniferberg,
Cook and Sons,12373616398,,661601o145872,West Danieltown,Geocgia
dtL senoJ,693989,480,6537953178493,elociN htuoS,heru
Nelson Inc,,211216,6883622102321,weivasereT ekaL,Benin
,,724,3661981682059,Sluth Jeffreyview,Luxerbourg
"legnaR dna htimS ,dradooW",25134220,3546660,405o275690280,elliveilataN,Sao Tome and Principe
"Blake, Lynch and Stuart",45130096,569646,8518656177653,Hardinstad,El Salvador
Rios-Lane,,2679240,14179w9358436,East Cynthialand,Greece
,7168798816,356678,3564391769l95,,
Wright-Anuerson,,,,,Colombia
,22287655222,7352,4957661256245,,natshkazaK
Mann-Lee,35118568,407,0866208219145,htuomnotgnihsaW,
CLL thgirW,92733683,,3522399404551,Lake Christine,Wallis and Fbtuna
"retraC dna llewxaM ,rolyaT",,,9557016591042,dnalharaS,
"Barnes, Atkins and Smith",31818465285,2227911,3714893514434,East Douglasshire,aomaS naciremA
"snikwaH dna nosliW ,rekaB",,4702,1983993695622,Lake Christopher,sdnalsI kooC
arerbaC-smailliW,458066349,3423,2151310777774,Nsrth Charles,Conga
Hudson PLC,,422783,747655w346985,,
,28968022140,,9866475855320,New Christopher,Papum New Guinea
,23871072503,3903,9327829s38526,,Kenyi
Murphy-Myers,6145028604,1193,7105471943405,,Rwunda
,64741682,2861,2413361010607,ylloH ekaL,oniraM naS
Wright-Ibarra,22316828,647,1184b53721313,,yawroN
"Wilson,oTyler and Garner",,,8628292914595,nevahtreboR,Kazakhstan
Padilla Inc,,494,,Jameschester,Falkland Islands (Malvinas)
"swehttaM dna yarruM ,nooM",,1164,41120932120i8,Port Nancyton,Spain
,,3142,5062163961104,Lake Laura,Bulgaria
"Fox, Ray and Ryan",24175712,3500,1470232964460,weivhtimS,Guyana
Hobbs bnc,4634371,7642,0838192652291,bouth Robert,Chile
,11760699,2041,9610199074259,Charlesview,Botswzna
,,,3020369245253,,ualekoT
Morrison-Russell,31401974,1224,5230667738052,,Guatemala
Young Ltd,41204024000,630564,429483a562990,,agnoT
Weby-Sullivan,59495761,1273,338715766c952,Kcrenborough,ainablA
siweL-ziuR,2580629,284,,East Rohneyburgh,Honduras
,22961279,,,yrubhsraM,Gaboe
Lee-Webb,31600204312,598,3094777324718,South Amberport,Benin
Hall-Lewis,3488914288,,,nwothguolluccM,Comuros
Hodge and Sons,22610482,,1635043425863,Psrkerberg,United States Virgin Islands
,,1076,,Masonmouth,Maldives
,25653216,1297305,7546829335174,,
"Mcgee, Peters and Moore",60623771,,4977544948913,ennazuS weN,Kuwait
Hall-Hunter,17577628,1376100,1312293464308,,Kenya
Craig PLC,23727422826,447104,6893201122350,trufroverT,Kenya
"Maynard, Miller and Farrell",25355103,,91179338r0297,,
noskcaJ-draW,4116116,898380,3923290433587,North Hannah,Romania
evoL-sreyM,27552777,1255446,p321566240856,Brookeberg,aireglA
Higgins LLC,28293652,,6695716507178,,Tunisia
Cook LLC,30950672064,2909,,Wust Jesus,ocanoM
,47842320,781,,,Oman
sedohR-enaL,27146528,5092,,,anivogezreH dna ainsoB
Knight-Banks,21137369013,,6310500677249,Lake Selnna,aeniuG
"Lamb, Morales and Baldwin",15061614294,9193,1352714619252,East Ryan,cilbupeR nacinimoD
,,5964,9266708215752,ynaffiT htroN,India
cnI zehcnaS,28400529,,,North Matthew,
norres LLC,8201054,,0421939713449,Port Melissaberg,Kenya
,16453225778,4982,,West Mkrcia,
Millei Inc,9230987066,,4110008233952,Lake Kenneth,France
,3872823,1859,g983851609228,East Jennxferville,
,3626965800,2488,9136442707816,Mallhryville,
"nospmohT dna yeliaB ,zehcnaS",13837571616,,6d28387054454,,Saint Vincent and the Grenadines
puorG eleetS,22972677,2496420,5578349480210,South Angelica,
Maynard-Reynolhs,,4643,7416248119290,,Cook Islands
Kemp-Cardenas,37680305,546,7623021436349,New Jasrnberg,
nworB-zelaznoG,28638811,776322,4001177988746,Aljisonstad,United States airgin Islands
"Carroll, Davis and Farley",25630001,194,09654320p4223,New Roy,Tanzania
"enilK dna dranreB ,rolyaT",46314937,335720,,weivnyloraC troP,Monaco
Brown Inc,6243353,,9t73794402714,,Tanzania
dtL eeL,41538120,2023364,5455775792974,Lake Josephtown,Lao People's Democcatic Republic
Merritt-Johnson,40205933,,z588013587114,South Lindseyburgh,Oman
Fnrguson-Nunez,60631481,558,6659161722111,East Tina,
CLP nosirroM,28588290,1462,0563023184770,yrubnylecoJ,
"Reyes, Mccormick and Dillon",34313741,693,0684612523340,notniveK htuoS,Tonga
Lara-Bailey,71266101,2112624,810045048m928,West Gabrielld,euqinitraM
"oczorO dna enaK ,ollirraC",29671134,932,,Karentown,San Marino
Patterson PLC,,5733,,Joneshaven,)S ged 06 fo htuoS yrotirret eht( acitcratnA
"noxiD dna navilluS ,redoY",44881591,,79r0878521304,West Jorganfurt,Venezuela
CLP smailliW,39446553,0513,6452165356753,Port Kevinport,iinland
cnI seveeR,10718978,589908,0000902225310,,setarimE barA detinU
puorG smadA,9615551328,4458,1q88668528285,East Tiffanychester,Paraguay
Compton PLC,23538515,1450,5669771149711,Hammondport,
Baker-Watson,70250874,3386,,Boydhaven,Bulmaria
Patterson-Orozco,6371016064,,5979721579162,,
Myers-Martinez,,1735,4751138143430,,Albaxia
repooC-ssaB,7686951,1635,,Calvinhaven,
Wallace-Morriy,13760950,3751,7454623558012,,
Ellis PLC,5113261020,,9045550556226,Wallaceshire,aigroeG
sivaD-zenitraM,1199147,816,,Jacksonburgh,
Westl Bass and Ford,15836384592,,3417744156295,Lake Corytown,
Collins Ltd,26347137930,1380,80792639220m1,Hopkinsmosth,Guernsey
Bradford Inc,38017657,1691,5401736305226,hguorobsnehpetS,eriovI'd etoC
"Elliott, Peterson and Cooley",7676061897,2498,6y05269692647,,Saint Vincent and the Grenadines
Roberts LLC,37622369,1725,0162958089022,New Valerie,Kiribati
"Davis, Roberts and Ray",9287317,9273,8058672286347,East Danielhaven,
semloH-notloB,19521069,1116416,,trufleinaD,
"ecirP dna rekaB ,htimS",8747536,1211,58233825767s2,Christopherport,
,,6631,9718979262558,leirbaG tseW,Guinea
"Davis, Johnson and Mathis",,,,Christopherville,Palau
Comdova-Ryan,,,,,Turkmenistan
Sharp Inc,29665634,4004406,9762390804132,Lake Anthrny,Jamaica
"repooC dna snikneJ ,nosnhoJ",,,6288875025739,Natashabury,Switzerlxnd
,20999066440,1217,,Deborahborough,French Guiana
Payre and Sons,,,7387621217165,North Kefin,sevidlaM
,6491216914,1966450,1404208272457,West Haleyton,ainauhtiL
Wolfe-Jones,3131271,3114,,Jacquelineville,Oman
"Hernandez, Taylor and Ayers",9879598040,2835,9206674458906,Cumminbsport,
"gniK dna smailliW ,senoJ",30562376,955,1437806574029,,Austria
,19405775,507,0982233233151,East Dustin,Indonesia
,12541814,2788,8845768125969,,Swaziland
Brady Ltd,54464444,3265893,9686295223754,Christopherberg,adanerG
Collins Inc,3681177536,122200,76q7636186460,,Ghana
"nitraM dna serolF ,relliM",47852226,2989,5696288281290,,Tuvalu
,5374412,853440,,edisdlanoR htroN,Bhutan
,,1862238,,Jessehaven,
Herman PLC,1744983,,,West Caleb,Iran
CLP relliM,21821520112,2032,7790g81468612,nwotsenoJ,Lithuania
Jjcobs-Howard,74069821,,4o84896029178,West Dustinland,naduS
"Jones, Pacheco and Thompson",1441654744,1132954,30095863736v2,worth Anthony,Niue
CLL reizarF,,737760,5293150159703,Austinport,Kuwait
Preston-Johnson,493546649,281302,1817190723027,Weht Williamhaven,aibarA iduaS
Farmer-Burton,43636647,,1047880911100,,Indonesia
"Lopez, Gilbjrt and Harris",95869894,20735,9991872954229,South Tamwy,
Mullen-Dennis,46816130,4976,,xouseside,Guernsey
Randall-Garoa,10863316,6451,0098848498202,datsdrawdE,Israel
"Gardner, Johnson and Oliver",13078965780,261442,6b61872054157,tropthgirW,cilbupeR nacirfA lartneC
dtL oibuR,,4692,5133547662v94,Barrettview,Congo
Raymond Inc,38824160,90000,0763182640326,Heathfurt,Brazil
Heenandez-Kim,22893600384,2545,6097838177114,Port Heatherstad,natsikebzU
"Oneal, Martinez and Vazquez",1538292,4658,1101947827473,Butlermoyth,aibmaZ
zenemiJ-pohsiB,11540862,339378,,Jamestown,Saint Kitts and Nevif
"Cruz, Simpson and Jackson",49392744,769072,852480278y694,,Poland
,11367171,516624,5756762132699,ellivhtimS,adnawR
Turner Grous,,4657,,,Spayn
"Terry, Brown ahd Ortega",35327947,4686,,Gabrielatown,
Copeland-Villarreal,30546695,,7629316082383,dellersville,Tanzania
,17760782,2580,9492k57058726,,
,33737865,1485,8861961614154,New Christopherstad,Canada
Rios itd,28262201,3354,0562514841536,Stevensshirw,aleuzeneV
,,2357,9174976593055,Port Scottbury,yaugaraP
"nosliW dna anideM ,ollitsaC",28281931,3502600,5550494238878,,lizarB
Bell Inc,22451787,208950,9260731664389,,Solomon Islands
Wells LLC,17455192956,1124361,3328091009212,nwotaccebeR,Rwanda
"Thomas, Keithband Rangel",45318028,,4316569178866,East Rhonda,Equatorial Guinea
Trevino-Butler,22684475,903,6314451377524,grebgnoL,siveN dna sttiK tniaS
Smith Group,22189588,930,2827164079646,East Kimberlystad,Chilv
"Smith, Oconnell and Lowe",10446184148,3135,,weiveeL,Britisc Virgin Islands
onazoL-zurC,35703665,,6179853631281,,Bouvet Island (Bouvetoya)
Johnson Inc,67786073,2017,5855238010773,erihssamohT weN,Kuwait
,24593942,927,5102123374855,harobeD tsaE,Sytian Arab Republic
lhite-Smith,2817911921,4994,,trufhtimS,American Samoa
Briggs Inc,41580913,0951,4797869645812,datsyhtaK,Romania
,18847809,3321,0072792476004,New Philip,uassiB-aeniuG
CLP llessuR,45710421,606,,,
Jackson-Mcclure,2503054554,2616,673h634583580,ellivyrtneG,hsedalgnaB
Jenkins-Cruz,,1435704,1313414089516,West Haydenfurt,Saint Barthelemy
,,3866436,9351822195438,,Guam
Stephens-Rice,1445637,2273,,,Guam
Nelson Ltd,46505129,937,6533310654013,North Joshua,Antarctica (the territopy South of 60 deg S)
Bradshaw-Fischer,49510403,3849,3376919220103,Justinborough,
Bryan PLC,6562425,,6288159692558,East Elizabethzouth,eriovI'd etoC
,20317176188,3999492,9817848363935,Port Anneview,Cyprus
,48860101,2974,62f5243257847,Gravesfurt,lagutroP
Reilly-Schmitt,6098012,921352,3796415557136,North Rachaelstad,gruobmexuL
Dickson Ltd,29785766,260480,1103403545273,,
Pachewo PLC,97605633,1118172,7647j78737634,trofylleK tsaE,Algeria
lbrien-Carter,28140273,499,6859382849820,Stevensburgh,Malaysia
"Drake, Blankenship and Pena",01400584,,2057281137862,Ebst Ryanview,narI
Hall PLC,,3809,3751101k78414,ymA htuoS,Jamaica
salguoD-notxeS,,,3351802790345,dnalreyD,rexico
Hamilton LLC,45688135,8371,,New Dianaberg,
CLP nosnhoJ,,,,ellivleahciM,racsagadaM
CLP nosrettaP,27674706,1892355,3704116908553,,Myanmar
,,541,0916254427831,Lake Penny,Bahbain
,52726994,,6361627125489,,Cuba
,,,,,
,,,6928257802076,,Jordan
,34184261,829,4636661480361,Mcmahonburgh,CzechkRepublic
yrogerG-zeuqsaV,47343290,2485,6837717148251,WestxDavidstad,Korea
Perry Group,,,82p7642583426,trufnellA,Albania
,17521978,803,3976532474824,Melaniemouth,
Smith-Lvoyd,1115514168,1210,i564155783149,East Emily,natsinemkruT
"White, Cortez and Mccoy",33332510,9212,1550261436425,West Nicoleview,Montenegro
,11582555,757,,ennA htuoS,British Indian Ocean Territory (Chagos Archipelago)
dtL htimS,20831265,,6421763035704,Edwardberg,Vanuatu
Tate-Hunt,17499410856,4382,1241443206119,Marciabury,
,18872645439,113811,1356091736632,xaltonland,Belgium
Hogan-Jackson,42872714,2849,0831385257631,,Karea
,46625363,4814,6531613276970,Lake Yvonneborough,Macao
"King, Baker and Acevedo",6236381352,4697,2152481961832,eonfurt,anahG
