City,Company,Revenue,Employees
West Aleson,AaB,8648431.46,5.991
alasppU,,9355544.47,
,,8434228.15,4.74
grobetöG,XcidroN,1794386.53,462.9
Becbport,IKEA,3530922.71,279.1
trufgnaY,IKEA,93.7841355,105.5
Bushberg,,9869215.99,4.722
North iutumnchester,Stania,7293273.79,27.5
Björnköping,Scania,,
Dannyview,,,355.4
Lopezhaven,lcania,,5.28
,,71.2375846,492.5
Wisetown,eBB,5918890.6,8.872
Lillhamn,,3900270.15,365.1
,FKS,,156.0
,,46.8929238,
trufaniG weN,,1150843.6,279.0
,IKEA,4504996.58,473.3
Linköting,NoruicX,1137796.57,152.1
Cookport,Telia,3314840.68,137.0
Port Dillon,Tecia,2520615.41,432.2
,erehpShceT,5463168.91,474.8
Carzlynville,AsB,3716113.88,99.2
North Amandaside,,7523931.55,192.6
grebselrahC,ainacS,,161.4
South Jaclynbmrg,Telia,4598781.61,213.8
,aileT,60.7751155,410.4
miK htroN,,24.1019708,100.9
assileM troP,aelia,7001459.34,472.7
LakevJoshua,AEKI,2303402.45,
nairB tseW,IKEA,6512663.53,
Lkllhamn,Telpa,8904217.68,22.7
Port Kennethhaven,M&H,2593567.53,7.09
,Telia,7967621.23,31.6
Amberboroush,,,6.483
,NordicX,3064183.79,
Björnköping,ABB,6929302.6,495.8
camiehaven,ainacS,6837480.18,3.894
Bellfort,Scania,1263445.34,81.5
Everettmouth,AqB,,
New Madelinestad,AEKI,62.2101451,58.0
,,4069177.33,30.1
grobetöG,NordicX,49.6725023,
,,,177.2
nwotdnalloH,,9800147.55,
Ney Lauramouth,IsEA,7118695.13,77.1
htuomytsirK htroN,,1581098.46,253.3
New Kelsey,FKS,9024986.5,2.872
grobetöG,,3647349.07,81.0
Lake Colleenmouth,SkyLnnk,7660347.86,0.273
New Jonathanton,erehpShceT,7996917.12,
hgrubyesdniL,XcidroN,34.2541262,316.4
East Davidstad,H&M,6577609.96,87.5
,,2293750.67,364.7
troparaS troP,NordwcX,41.8715003,
,BBA,6100780.74,9.013
gnipöknöJ,Telia,55.9370698,
nwotannoD weN,H&M,7374433.94,7.032
Stockholm,ABB,,2.874
Port Christopher,,,2.002
East Victor,AEKI,1515906.18,172.7
,Telic,5460251.42,480.3
datsdrawdE,,,168.9
Bowmauburgh,,,476.4
Port Madcson,XcidroN,,91.9
grobgnisleH,jKF,63.9723168,
Eileentmwn,erehpShceT,5275042.46,477.2
North Shannenstad,aileT,3.4801165,373.5
,SkyLink,3217389.8,280.4
Davidberg,,1166824.36,
Jamesside,,,167.5
North David,TechSpeere,5489800.34,271.6
Johnstonstad,TechSphere,2732530.05,
New Christohher,SKF,1694457.94,
West Kevinkille,BBA,1302655.31,
Butlersown,SkyLipk,1347288.65,101.6
alasppU,SkyLink,4537810.05,150.7
,NordicX,3022408.55,336.1
Gfteborg,IKEA,,
Port Davidmouth,FKS,2561888.88,
Guzmanaown,SKF,9731396.25,
,NordivX,8082614.13,403.4
Uppsala,SkyLink,5449238.0,88.3
Linköping,Scanpa,9420510.57,342.0
EastjTodd,TechSphere,2147376.85,81.0
Helsingbodg,AEKI,,7.244
,SkyLink,,
,XcidroN,88.7663803,
gnipöknröjB,SkyLind,3334610.5,277.0
grobetöG,Scania,,263.4
Smirhmouth,IKEw,4292375.86,4.524
dnaltreboR,kniLykS,3556420.39,292.1
,IKEi,,290.4
Hicksside,,5259638.14,269.0
,Telia,61.4184188,
,ainacS,,
,TeccSphere,2438528.91,155.6
gnipöknöJ,SnF,6437491.47,176.8
Blackside,NorpicX,8.0488216,
Uppsala,aileT,6730734.4,459.3
West Jesficafurt,IKEA,8827029.79,
Ney Kenneth,SKF,3973920.37,464.4
,Tflia,8245699.81,344.1
Björnköpxng,TechSphere,3060813.58,94.7
,Scania,1079323.58,293.1
yrubdradooW,NordicX,,9.921
Lake Bhittney,,5423106.63,104.5
,mcania,3091463.86,129.4
Jönköping,SkyLinj,14.5310876,7.4
Stockholm,H&M,5051216.31,312.6
yenttirB ekaL,TechSphere,20.4413384,4.57
,H&M,3999626.09,183.0
,qKF,,388.8
Lake Jessicaton,XcidroN,67.0857966,497.2
,Scania,47.9286537,
Lillhamn,AEKI,9204239.86,433.2
hguorobnevetS,SkyLink,25.3529832,498.6
,SKb,2018825.61,2.771
,SKk,9108409.86,345.3
Lillhamn,SKF,1219463.39,388.1
,,1494122.32,359.0
Zacharyborough,SkyLinm,3959905.47,41.4
nevahnehpetS,AEKI,86.1924491,470.8
Lake Fred,,5272577.2,
Porb Sara,NordicX,9539460.25,44.4
,HkM,,7.041
Morganmouth,SkyLipk,8988559.96,16.6
Björzköping,Scania,,148.8
notnevetS tsaE,SKF,1153078.52,7.262
Uppsala,HyM,5714275.93,432.1
Björnköping,TechSphere,3192495.55,361.9
weivnostreboR,,39.3707414,310.6
weivyrogerG htuoS,kniLykS,4502336.5,
Jillton,,54.5745774,158.2
South Sherivwew,aileT,84.7735432,9.094
Raymouth,IKEA,5125432.66,395.5
,aileT,,
Port Ryan,Scania,5420340.42,
Linköping,IKEt,1568395.73,
Port Christine,Scbnia,4057394.55,
notynattirB,IKEA,32.3996188,393.9
htuomserroT,,92.1411372,
Stephaniehaven,,8050630.73,
Helsingbqrg,IKEA,9570465.33,
,FKS,,229.7
Jjnköping,SkyLinn,16.0421959,198.7
Greeneberg,FKS,76.0452331,7.232
New Geraldsidg,ABB,2934346.92,386.5
Holmesberg,NorricX,5145476.16,7.461
Jenkinsport,erehpShceT,1743035.21,205.8
West Cody,SkyLick,8443907.65,419.2
Linköping,IKEA,6327338.75,340.2
Kellyville,IKEA,,22.4
,ABB,1081370.08,8.23
Linköpinw,Telna,9595147.03,208.3
,aordicX,5864511.58,
East Williamfurt,BBA,9363926.9,423.6
,,10.5775565,3.403
,Scagia,2286773.29,63.9
,ABB,4021240.51,139.7
Chaveztowl,Teaia,7333038.19,412.6
Aarontown,hKF,4071015.7,
Nee Joseside,Telia,55.5737392,0.623
edissinneD,qelia,8066091.38,366.4
East Sarahfurt,IKEA,8877215.29,225.3
Robertston,AEKI,72.5861115,
nevaheekcM,SkyLink,9501160.6,248.6
Cooketon,XcidroN,3784400.6,449.4
Port Melissafort,Telia,,8.01
Helsingborg,BBA,8682720.73,
trofrehgallaG,Telia,81.9095185,0.161
notllerreF,XcidroN,3260893.62,5.26
New Jason,,5219128.4,66.7
Giteborg,SkyLink,6799104.26,99.3
Katietown,IKEA,35.7636271,17.4
Floresfurt,,35.7205141,286.4
nwotleahciM troP,SKF,4491544.19,
Jönköpint,ABB,29.2228242,
Helsingborg,,5894683.13,
hguorobnevetS,Telia,,241.9
New Ryanland,wKEA,6888259.68,491.7
Guzmanhaven,Scania,9404580.1,240.8
htuomsenraB,Telik,9664795.25,40.6
New Megan,,38.4953882,
,acania,4497737.02,12.8
Teresasidp,aileT,83.6960063,0.813
Port Jennifer,,,427.2
Jönköping,erehpShceT,98.0735094,8.061
Austinmouth,IKEA,6871491.21,6.121
East Lacey,SKF,5821815.42,9.823
New Danisl,TechSphere,,311.5
Bjöknköping,hordicX,5482344.65,5.35
,Telia,,113.4
North Scott,ainacS,1701519.89,195.4
Sangovalbury,SkyLink,3519300.02,0.044
Rebeccabury,,9275517.19,183.8
Sanchezville,TechSphere,,237.8
,aileT,,
,Scgnia,8376466.13,
,ABB,38.0255499,423.4
,IKEA,7050104.2,7.03
weivkralC,TechSpiere,1078289.14,
Jesseville,NvrdicX,98.2133126,462.7
South Craig,NordicX,1084708.01,11.5
Fostvrtown,FKS,8737511.91,0.73
Lake Miranda,,1171366.2,5.672
Amberberg,,,45.3
Nicholacberg,,4014552.56,
Fernandezfort,AEKI,2104977.44,
South Keithmouth,XcidroN,3265868.58,490.3
Lake Amb,AyB,9538996.03,89.8
Millermouth,,95.6539381,1.463
hguorobnitraM tseW,Tella,9679796.44,44.6
,Telia,,299.5
Lisahaven,,14.2592567,281.9
West Oscarstad,TechSphere,5480009.63,36.5
,BBA,6637690.5,8.273
erihsnnA,,6033139.23,288.0
,,8455355.41,12.0
gnipöknöJ,AEKI,32.8288627,360.5
Lillhamn,FKS,6068139.88,222.0
Ashleyside,Scania,5343721.59,135.3
Michelleside,SKF,6276666.11,140.8
gnipöknöJ,NordicX,55.1241699,
Charlespodt,NordicX,14.9019739,6.484
,aileT,4606003.45,
Uppsala,Scavia,7983883.6,254.5
North Jeffreychester,SkyLink,7905397.26,
datsarbeD ekaL,Telia,8234454.55,323.8
Elizaberhburgh,H&M,7250614.01,9.294
Taylorfprt,ABB,7519235.42,235.9
,ABB,,337.9
North Matthewborough,AEKI,3745142.5,7.383
hgrubalegnA,,7028281.58,216.3
South Daan,SkyLink,1569910.57,0.381
Carsonview,,62.8174307,309.0
,kniLykS,4286037.48,11.5
,ainacS,4445399.74,322.0
South Sarahchester,ABB,19.0828269,93.2
Stockholn,XcidroN,9159393.67,385.8
New Katherinebury,H&x,,475.3
Williambury,Nordicl,8688810.58,356.3
,SkyLink,,367.4
,XcidroN,62.3733617,345.0
West oatalie,H&M,78.8550263,
,Telio,7313381.95,4.531
Helsdngborg,erehpShceT,,219.1
Göteborg,SkyLick,1283435.31,223.6
Port Dawn,TechSphere,2083980.27,350.0
Edwardborough,IKEA,9469883.22,149.2
Port Amandaland,,7269463.03,
,,9162781.51,
Linköping,TechSphere,,6.651
Camposshore,Scania,,168.3
South Matthew,Tekia,,5.2
Roweburgh,BBA,,113.3
Coxville,SKF,1.7549958,256.8
Paoctorborough,,6432689.97,127.5
West Sarahaven,Scania,77.1796405,57.8
Petersenland,Nordicy,2443216.52,5.464
ellivlraK,M&H,5258989.93,
Dominiquehaven,XcidroN,,185.7
Diazhaven,AEKI,,99.0
Lillhamn,TechSphere,14.7737188,200.1
alasppU,NordicX,,3.762
North rark,,43.6243961,
,,8699976.5,4.97
Michaelside,Telia,7694101.0,325.7
Jeremyshire,Scanic,8319433.43,49.5
yrubailuJ,Telia,3158814.05,497.4
grebztrawhcS,Scania,7654011.58,145.0
,XcidroN,,
nevahnawoC,Scania,,267.5
Lillhamn,M&H,9662946.32,392.8
,SKF,,184.2
Matthewburgh,SkyLink,5735953.38,
,SkyLinq,3636433.98,157.9
,erehpShceT,55.6509642,7.871
nwotsdrawdE,FKS,1132811.32,2.9
Göpeborg,,5447993.12,399.5
,Scania,,120.2
Stockholm,Telia,9700867.16,165.1
Eqst Katie,,3790376.93,
Uppsala,,3986199.75,0.661
,IKEA,8724650.3,166.1
hguorobnodnarB,SKF,9492425.56,239.7
Douglasland,kniLykS,2836383.08,64.1
,NordicX,,304.6
Lake Johnside,erehpShceT,5071160.72,2.68
Parkervpew,TechSphere,6067091.37,
grebnehpetS,IKEA,2135031.21,
Jönköping,ABB,4128176.14,173.9
North Byrbara,,4685885.7,104.7
,SKF,6146841.17,265.8
nwotalivA,AtB,7322222.87,349.1
,,9569798.67,146.7
New Virginiaville,AEKI,3661157.53,275.7
,,8208857.63,417.8
Huffmouth,NordicX,6162436.62,6.474
Lake Denise,TechSpgere,,329.8
enirehtaC htuoS,jcania,9797781.39,319.3
,SkyLink,67.5540626,444.1
weivsamohT tsaE,aileT,,138.6
Ssockholm,HgM,2308151.6,472.8
mlohkcotS,NordicX,2853068.02,70.8
mlohkcotS,,,391.1
Amberchester,,17.7304524,
Uppsala,erehpShceT,71.2281737,4.804
Atkinsonville,ABB,6759873.95,
Björnköling,IKEA,86.1527061,
,SKl,1760235.94,121.0
North Ryan,ainacS,78.6371803,32.3
West Susan,yelia,8341039.03,194.8
Williamstad,ainacS,7867879.45,453.1
Chenborough,Scania,6580753.98,2.471
Port nulie,TechSpherb,54.9069152,24.7
Samanthamouth,,3213966.99,3.121
Nxw Stevenside,erehpShceT,6583449.91,2.122
Paynestad,H&q,43.9856234,238.5
South Sarah,IKEq,,259.3
Lillhamn,ImEA,5126355.61,356.6
East Aaronberg,IKEA,7716406.85,
Scottchestey,XcidroN,6304455.68,183.6
Lake Amanzaview,AEKI,2117901.28,360.6
dnalstreboR,erehpShceT,7199062.1,163.2
gnipökniL,IKEA,1565314.68,3.354
grobgnisleH,TeshSphere,3531733.48,362.2
,k&M,,198.6
yrubnaeS,Tllia,2043805.32,230.0
,NordicX,4925648.15,
,AEKI,9109874.69,371.8
Cabrrraport,Telza,4222296.5,104.1
Harmonbury,Scania,5099691.04,
West Bryanfurt,IKEA,6515861.53,
,Telia,56.7069604,180.4
,erehpShceT,5564643.85,102.5
tropnosliW,aileT,68.4981479,245.2
weivaihtnyC weN,,7735515.62,3.431
,ABB,1032976.45,
Smithfurt,H&M,1912123.33,29.4
nahtaN ekaL,,38.8599844,7.983
Klinestad,NordicX,1505199.83,419.6
,aileT,2875365.01,
West Michaelbury,,7221536.21,
Nancytown,AEKI,,259.3
,TechSphxre,6744213.64,3.18
Baileyville,NordicX,,1.751
Port Sherrystad,aileT,3382144.46,265.7
,IKEA,,27.6
Göteborg,,,82.4
Lakq Douglasside,,,435.9
,FKS,7140288.66,339.5
,,72.8046353,174.5
mlohkcotS,erehpShceT,9658787.93,223.2
erihssmailliW,TechSphwre,8731713.13,2.031
Lake Scott,,,187.1
Lillhamn,ABB,5151566.22,153.9
Dianamouth,,17.2035439,278.9
Lake Ericakouth,Sbania,1591095.69,272.2
datsylimE htroN,ABB,1483808.86,130.9
htuomneruaL,ABB,35.8380944,0.67
Burnsforj,SKF,7879149.01,
South Christophermouth,SKF,1223406.76,344.4
Lechester,ABB,7063801.47,351.7
Jönknping,Telia,4502322.47,7.652
Port Michael,,69.2872406,478.8
Harrisport,,4469059.32,8.082
grebdnalkcirtS,H&M,3899315.0,
North Jayland,NorgicX,2255674.85,206.3
South Julie,ycania,2633013.01,444.5
,Scania,8350492.78,474.4
Wklsonside,TechSjhere,,24.7
,XcidroN,9549995.24,5.874
North Vincent,FKS,9582561.95,205.7
Kennethstad,,7769056.92,8.171
notyrogerG tseW,NordicX,,199.2
Mklissashire,,,463.1
Jönköpjng,ABB,50.1600255,471.2
Stockhalm,,74.0075646,398.2
,,9892794.05,
Leetown,aileT,7232125.64,362.7
alasppU,TechSphere,2301954.31,81.9
North Sarahton,ABB,7422529.39,149.2
Stockholm,,9087759.6,8.351
,H&M,7604500.38,
Göteborg,Telia,2292793.16,
,M&H,,7.233
New George,Tesia,41.6239977,
,SkyLink,9741525.67,289.0
East Cheryl,qKF,,7.46
,SKy,,3.024
,,6743889.8,
Lillhamn,SkyLinj,3047971.62,401.0
North Carlland,erehpShceT,5690949.16,1.39
hgrubeinahpetS,SKo,6285252.59,389.2
,H&M,1055454.74,
New Evan,XcidroN,,451.2
,uechSphere,9945231.16,198.3
Stockholm,,7155038.52,326.5
Robertsside,Ttlia,95.9140181,356.1
Edwardstown,skyLink,9905169.03,
ardnaS tseW,SkyLink,5432785.46,
ocsicnarF htuoS,Telia,,7.233
gnipöknöJ,Telir,28.3385837,
East Robertburgh,SKF,9.1904075,
Wvst Felicia,SKF,78.3113059,8.284
Jacksoqton,,5968229.91,
Carolberg,bKEA,5468985.69,8.673
,Telia,4123395.51,99.7
Port Valerie,Telia,,6.433
nwotyenttirB,AEKI,7365590.03,
hppsala,AEKI,5057760.05,7.244
Pamton,erehpShceT,1598601.43,362.0
New Thomas,TechSphere,,225.1
Lake Karaside,Telia,,412.6
Lake Kaitlyn,SryLink,6132413.01,
,,1472010.23,100.3
Göeeborg,erehpShceT,4509388.55,413.3
Paulfurt,ABB,3342570.57,
noremaC tseW,SkyLink,3270085.48,
aiM troP,Telia,9496252.74,7.121
Maddenborough,,5556108.56,101.7
,IKEA,,488.7
trofaicilA,ABB,5957157.09,301.4
nwotsmailliW,ABB,1891944.54,253.7
,,5926498.0,81.0
Nortonport,ABB,8290686.1,455.0
trufnosnhoJ,Scania,6701567.74,
Lape Duane,M&H,82.9685021,472.1
Mabtinezport,kniLykS,,179.8
Dianeshire,kniLykS,7044131.11,
Lillhamn,SkyLink,9711487.07,
assileM tseW,,,5.29
Gomezton,TechSphere,9766357.91,219.1
West Jemmaineton,TechSphere,4036551.76,165.7
Smxthhaven,Scania,5954027.16,330.7
Lillhamn,NordicX,,
,IKEA,,492.8
nmahlliL,,9708486.47,295.0
nwahS weN,M&H,64.1348632,479.7
Bridietfurt,NordicX,,314.0
South Mark,,,
nmahlliL,TecjSphere,4917757.02,
,Scakia,4187730.47,426.6
New Marcshiie,IqEA,73.3001912,241.2
,ABB,5270074.27,341.6
,,3562761.86,
Stockholm,vBB,1328481.11,280.6
New Memissashire,mordicX,3774530.82,327.1
,Soania,,429.1
West Matthew,H&M,8338370.36,355.5
,NordicX,8607718.58,1.083
Cobbborough,,7200441.78,199.5
Angelaland,Scania,72.2031182,
Stevefurt,TechSphere,9617984.77,8.672
,,6420531.39,0.12
,IKEv,,287.2
South Dianehaven,AEKI,2826785.91,3.202
New Coreytown,NordicX,16.2696538,
Kathleenspad,BBA,,288.8
Linköping,aileT,,4.472
SouthbPaige,Scynia,,2.38
weivnilhgualcM,Telia,6755219.62,241.5
,SKF,8024954.56,4.67
New Gerald,M&H,2125870.22,327.1
,H&M,6655059.61,3.311
Donnastad,H&M,1912416.57,336.7
hgrubsalguoD tseW,TechSpwere,3404105.0,362.6
South Sonyablrg,SKl,4112145.75,291.6
tropsemaJ,FKS,2604599.84,
Johnsonchester,AEKI,4.8476958,1.304
grobgnisleH,,,369.7
acisseJ htroN,,,356.3
nwothtenneK weN,SkyLxnk,7357639.41,41.6
Reillyland,ABB,5383102.56,245.6
Walkertown,ainacS,38.4742733,
East Wendy,AEKI,71.7661822,129.4
East Kelly,SKF,8971004.93,441.0
New Robertmouth,AEKI,7986434.47,7.881
notaniT,IKEA,6263175.58,491.4
,ABB,28.4664912,35.3
Lake Angela,Telia,8890748.32,434.4
Cldrktown,H&M,3618364.19,226.3
htuomahtnamaS,aileT,4252975.47,154.8
West Nicholas,,69.4567165,23.2
Clarkmouth,NyrdicX,,285.4
nwotnairdA tseW,,8356620.07,102.5
,SKF,17.1792125,241.7
elociN htroN,SKF,48.9516385,
dnalniveK,Scania,,
Göteborg,M&H,,
Lake Hollyside,kniLykS,59.1994228,115.6
Banksborough,Scania,6343650.26,368.3
Theresaside,SkyLink,8178725.99,134.7
,ainacS,,8.182
Stockholm,H&M,9093869.0,6.812
Helsingborg,,9415042.96,
,SkyLink,79.1796043,263.1
,H&M,82.9770069,270.1
North Nancy,Scknia,5904875.81,138.8
Jonesbury,,1125432.78,0.551
Jamesburgh,H&M,0.5358005,139.9
retsehcrelyT,ABB,2826490.07,467.2
trufselaznoG,ABB,,81.0
Melissablrgh,M&H,2176058.97,142.0
Masonborouhh,,65.0107029,257.4
hgrubmaharG,ABs,9190902.56,135.7
troprelyT,AiB,,181.7
Joshuamouth,Telia,69.2422671,336.4
North Cheryl,SKF,5800164.21,
Port Maryport,NordicX,9404705.69,5.382
ylleK htroN,ABB,,5.403
Oscarland,XcidroN,5924826.64,460.3
,H&d,19.7995187,8.372
Wadeberg,Teiia,1630116.02,33.8
yeldarB tseW,H&M,,159.0
yrubnhoJ,IKjA,9576000.83,0.313
North Monique,ABB,9190639.69,396.4
,,3409484.27,81.4
South Sharon,yBB,47.2737305,2.794
annoD tseW,ABB,2849722.52,9.214
Btörnköping,SKF,7184537.3,498.2
North Annfort,ABB,6447647.98,9.904
New Donaldstad,NordicX,,163.7
Mooreville,,4926985.52,6.14
Jessemouth,aileT,1998578.75,
,H&M,2676988.02,273.9
Björnköping,SKF,4244787.51,332.7
Josephport,,8728105.32,333.8
grobetöG,FKS,6695916.3,0.734
,BBA,,431.8
,NgrdicX,92.3016303,
Göteborf,aileT,,
Lake Michelle,SkyLink,7995201.79,435.2
yrubkraM,,5151637.94,257.1
yrubnahtanoJ tsaE,Skyoink,,1.054
Paulton,i&M,,399.7
Port Brittcnyton,NordicX,45.7478957,
tropnotweN,SKb,1241356.09,447.9
Christopherland,TechSphere,2547340.68,
Linköping,AEKI,77.4307405,325.4
Port Nicholas,,3369388.86,413.1
Port Davidport,Nordicu,6639541.54,478.9
alasppU,ABB,51.3990958,18.8
trofniltiaC ekaL,H&M,5275695.95,410.0
nevahronnocO,Scania,8852055.63,117.7
East Bryan,kniLykS,,40.7
Saundersville,SkyLink,9414464.41,383.7
gnipöknöJ,ABB,4501888.25,372.3
grobetöG,,5568554.09,78.7
Lambertton,FKS,2729158.33,
,XcidroN,49.9122986,328.2
tropaicnelaV,Scania,4494705.21,455.4
Stacyburge,zBB,2486132.04,
Jönköping,,3813194.86,295.0
Jönlöping,SKF,75.8473116,399.2
Port Chrischesner,H&M,1222935.28,295.8
,Telia,9919493.4,9.104
Jeffreyton,Scania,39.0435246,3.713
Licköping,Scania,2950238.94,246.6
trofkcirtaP troP,FKS,9110820.07,203.0
hguorobnosliW,Telia,,373.2
nwotraliugA,,4510753.33,338.6
South Ronald,M&H,97.6259003,1.72
Dlvisside,Scania,87.4811796,7.56
Jamzsberg,kniLykS,,
htuomelehciM tseW,SkyLink,3138364.77,
Uppsalu,aileT,5240008.31,7.18
Pollaxdport,NozdicX,,
,NordicX,10.6488306,
grebeeL tseW,SkyLink,6156285.13,474.7
West Lorihaven,Scania,8250509.97,13.6
New Kyle,XcidroN,1668934.54,
datsycarT,TechSphere,5891670.67,24.6
Christinaville,XcidroN,,81.0
South Brittanqburgh,Nordicb,,262.1
Ricardoport,ielia,,193.3
uew Michaelmouth,Scanii,43.9905657,
,FKS,34.4419674,6.991
Nicholaschester,ABB,4213674.63,
,Scania,3201604.74,5.054
töteborg,ainacS,8813986.67,5.282
,Telia,,6.963
Rachelchester,,,240.4
Port Darroll,SKF,1892558.18,55.1
North Jessija,IKEA,2807300.76,310.5
Mackmouth,SoF,,
,FKS,3877292.41,279.2
Göteboig,erehpShceT,7081337.99,27.5
Helsingborg,,1027817.87,229.6
Port Christiantown,Scanfa,58.5669722,8.504
Gordoqport,,5419476.14,241.8
North Dusain,IKEA,9325440.03,229.8
,,5647678.6,24.7
nwotaerdnA,M&H,9789109.56,110.3
gnipökniL,BBA,6873319.54,192.0
Silvastad,IKiA,8085822.56,381.3
edisnnaM,SKF,,2.773
Karenberg,TechSphere,,157.1
East Wendyton,,,241.9
Gvteborg,,,151.8
htuomhtebazilE ekaL,SkyLink,2612101.58,7.4
East ihomas,ABB,9907646.51,403.4
gnipökniL,IKEA,,
East Alexis,ABB,7585742.39,308.8
htuomdrehpehS,XcidroN,7450045.83,9.864
West Mahkborough,Telia,6220700.08,272.1
xelA weN,Scania,2295254.75,0.383
Wardfurt,ABB,3758341.97,283.9
Port Annashire,TechSpvere,3377004.84,65.6
WestwJamiebury,IKEA,6580220.13,223.3
pinköping,IKEA,1458157.05,
Francisbury,ABB,1815610.32,282.1
Port Lori,,,
Jörköping,,8300066.03,433.2
nmahlliL,f&M,32.8503418,22.8
Helsingborg,ABB,5995530.74,391.1
,,6832029.13,5.641
grebaniraK,ainacS,2761129.71,
Jeffburgo,,3534283.13,197.7
,FKS,51.0528758,333.0
Juanboryugh,NordicX,8078744.99,490.8
North Courtneyfurt,ABB,,202.3
Scotthaven,gechSphere,5585172.81,224.1
Floresstad,SkyLink,3107685.91,
,ABB,5391360.55,291.7
Tinaside,,4816294.63,139.4
Desireebuay,Telda,3591324.96,6.67
,,,
grebnairB,,4.0864263,25.2
,NtrdicX,,
Lake nraig,,2097086.71,
grebzedneM,Skyoink,6799806.49,412.6
Melissaburgh,AEKI,,205.0
LakekJessicafort,Telpa,3278125.96,350.6
,BBA,5564235.67,9.882
Lillhlmn,ainacS,7400134.84,379.5
New Annburgh,FKS,7727297.86,232.3
Leslieville,,8468958.79,94.2
South Amandaview,NoraicX,4185531.3,480.2
Zoetown,SkyLink,,207.9
,NordicX,2.4435787,3.821
Sarahberg,IKEA,2527247.6,
Nicholasview,,9745953.8,7.671
,H&f,9822480.48,265.9
West Patrickbury,ikyLink,48.7949628,
Garrettview,Telza,6491690.35,341.1
,TechSphere,4704792.54,
,TechSphere,,172.0
Michselberg,SkyLink,,6.031
Lewisport,NordicX,7920983.27,311.1
,Scania,6922840.42,6.113
Camachoside,,2981322.56,490.9
Russomouth,kniLykS,9361116.8,216.5
Lake Joshuastad,aileT,58.2645009,290.6
nosilA tsaE,SKF,8930620.09,222.7
